%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIE	 RMDE	 RHOE	 PSIE	  TIE	 DTIE
  3.786E+00	 3.786E+00	 9.450E-01	 9.139E-01	 1.099E+00	 1.019E-02
  3.786E+00	 3.786E+00	 9.451E-01	 9.140E-01	 1.032E+00	 2.254E-02
  3.786E+00	 3.786E+00	 9.453E-01	 9.144E-01	 1.046E+00	 2.260E-02
  3.787E+00	 3.787E+00	 9.456E-01	 9.149E-01	 1.057E+00	 2.267E-02
  3.791E+00	 3.791E+00	 9.510E-01	 9.235E-01	 1.048E+00	 9.477E-03
  3.791E+00	 3.791E+00	 9.516E-01	 9.244E-01	 1.043E+00	 1.656E-02
  3.792E+00	 3.791E+00	 9.517E-01	 9.246E-01	 1.047E+00	 8.457E-03
  3.792E+00	 3.792E+00	 9.526E-01	 9.260E-01	 1.077E+00	 9.560E-03
  3.793E+00	 3.792E+00	 9.529E-01	 9.266E-01	 1.055E+00	 8.482E-03
  3.793E+00	 3.793E+00	 9.532E-01	 9.270E-01	 1.077E+00	 8.669E-03
  3.794E+00	 3.794E+00	 9.546E-01	 9.292E-01	 1.058E+00	 8.211E-03
  3.794E+00	 3.794E+00	 9.546E-01	 9.293E-01	 1.038E+00	 9.558E-03
  3.794E+00	 3.794E+00	 9.547E-01	 9.294E-01	 1.043E+00	 7.558E-03
  3.794E+00	 3.794E+00	 9.547E-01	 9.294E-01	 1.032E+00	 9.010E-03
  3.794E+00	 3.794E+00	 9.553E-01	 9.304E-01	 1.050E+00	 8.288E-03
  3.795E+00	 3.795E+00	 9.559E-01	 9.314E-01	 1.125E+00	 8.441E-03
  3.795E+00	 3.795E+00	 9.564E-01	 9.321E-01	 9.698E-01	 8.669E-03
  3.795E+00	 3.795E+00	 9.564E-01	 9.322E-01	 1.015E+00	 9.435E-03
  3.796E+00	 3.796E+00	 9.570E-01	 9.331E-01	 1.053E+00	 8.222E-03
  3.796E+00	 3.796E+00	 9.574E-01	 9.337E-01	 9.881E-01	 7.156E-03
  3.796E+00	 3.796E+00	 9.574E-01	 9.337E-01	 1.036E+00	 7.439E-03
  3.796E+00	 3.796E+00	 9.578E-01	 9.344E-01	 1.011E+00	 1.003E-02
  3.796E+00	 3.796E+00	 9.579E-01	 9.345E-01	 1.031E+00	 7.581E-03
  3.797E+00	 3.797E+00	 9.582E-01	 9.350E-01	 9.854E-01	 9.606E-03
  3.797E+00	 3.797E+00	 9.585E-01	 9.355E-01	 9.776E-01	 9.178E-03
  3.801E+00	 3.801E+00	 9.639E-01	 9.441E-01	 9.674E-01	 7.182E-03
  3.802E+00	 3.802E+00	 9.646E-01	 9.452E-01	 9.781E-01	 7.123E-03
  3.802E+00	 3.802E+00	 9.646E-01	 9.453E-01	 9.299E-01	 6.059E-03
  3.802E+00	 3.802E+00	 9.654E-01	 9.465E-01	 1.004E+00	 7.271E-03
  3.803E+00	 3.803E+00	 9.659E-01	 9.472E-01	 9.410E-01	 6.305E-03
  3.803E+00	 3.803E+00	 9.661E-01	 9.477E-01	 9.752E-01	 6.432E-03
  3.804E+00	 3.804E+00	 9.675E-01	 9.499E-01	 9.670E-01	 6.990E-03
  3.804E+00	 3.804E+00	 9.676E-01	 9.500E-01	 9.589E-01	 7.642E-03
  3.804E+00	 3.804E+00	 9.676E-01	 9.500E-01	 9.769E-01	 6.061E-03
  3.804E+00	 3.804E+00	 9.676E-01	 9.500E-01	 9.463E-01	 7.040E-03
  3.805E+00	 3.805E+00	 9.683E-01	 9.511E-01	 9.789E-01	 6.541E-03
  3.805E+00	 3.805E+00	 9.687E-01	 9.517E-01	 9.875E-01	 6.260E-03
  3.805E+00	 3.805E+00	 9.693E-01	 9.527E-01	 9.003E-01	 7.055E-03
  3.806E+00	 3.805E+00	 9.694E-01	 9.529E-01	 9.381E-01	 7.717E-03
  3.806E+00	 3.806E+00	 9.698E-01	 9.534E-01	 9.307E-01	 6.485E-03
  3.806E+00	 3.806E+00	 9.702E-01	 9.541E-01	 8.838E-01	 5.833E-03
  3.806E+00	 3.806E+00	 9.702E-01	 9.541E-01	 9.096E-01	 5.951E-03
  3.807E+00	 3.807E+00	 9.708E-01	 9.550E-01	 8.988E-01	 5.779E-03
  3.807E+00	 3.807E+00	 9.708E-01	 9.551E-01	 9.009E-01	 8.023E-03
  3.807E+00	 3.807E+00	 9.711E-01	 9.556E-01	 9.208E-01	 7.972E-03
  3.807E+00	 3.807E+00	 9.715E-01	 9.562E-01	 8.943E-01	 7.487E-03
  3.811E+00	 3.811E+00	 9.767E-01	 9.645E-01	 8.561E-01	 7.040E-03
  3.812E+00	 3.812E+00	 9.774E-01	 9.656E-01	 8.658E-01	 7.769E-03
  3.812E+00	 3.812E+00	 9.776E-01	 9.659E-01	 8.330E-01	 1.237E-02
  3.812E+00	 3.812E+00	 9.781E-01	 9.668E-01	 8.723E-01	 6.412E-03
  3.813E+00	 3.813E+00	 9.789E-01	 9.679E-01	 8.590E-01	 1.314E-02
  3.813E+00	 3.813E+00	 9.791E-01	 9.683E-01	 8.755E-01	 1.292E-02
  3.814E+00	 3.814E+00	 9.803E-01	 9.702E-01	 8.544E-01	 7.731E-03
  3.814E+00	 3.814E+00	 9.804E-01	 9.704E-01	 8.490E-01	 7.455E-03
  3.814E+00	 3.814E+00	 9.804E-01	 9.705E-01	 8.728E-01	 1.143E-02
  3.814E+00	 3.814E+00	 9.805E-01	 9.706E-01	 8.479E-01	 1.037E-02
  3.815E+00	 3.815E+00	 9.811E-01	 9.716E-01	 8.399E-01	 7.202E-03
  3.815E+00	 3.815E+00	 9.818E-01	 9.725E-01	 8.679E-01	 1.251E-02
  3.816E+00	 3.816E+00	 9.821E-01	 9.730E-01	 7.882E-01	 7.108E-03
  3.816E+00	 3.816E+00	 9.823E-01	 9.734E-01	 8.530E-01	 1.341E-02
  3.816E+00	 3.816E+00	 9.828E-01	 9.742E-01	 8.247E-01	 1.322E-02
  3.816E+00	 3.816E+00	 9.832E-01	 9.748E-01	 7.697E-01	 1.152E-02
  3.817E+00	 3.816E+00	 9.833E-01	 9.749E-01	 8.348E-01	 1.296E-02
  3.817E+00	 3.817E+00	 9.836E-01	 9.754E-01	 8.147E-01	 1.131E-02
  3.817E+00	 3.817E+00	 9.838E-01	 9.757E-01	 8.028E-01	 1.126E-02
  3.817E+00	 3.817E+00	 9.840E-01	 9.761E-01	 8.360E-01	 1.041E-02
  3.817E+00	 3.817E+00	 9.844E-01	 9.767E-01	 7.891E-01	 7.913E-03
  3.822E+00	 3.822E+00	 9.897E-01	 9.852E-01	 7.761E-01	 1.412E-02
  3.822E+00	 3.822E+00	 9.905E-01	 9.864E-01	 7.691E-01	 1.441E-02
  3.822E+00	 3.822E+00	 9.908E-01	 9.869E-01	 7.191E-01	 1.807E-02
  3.823E+00	 3.823E+00	 9.912E-01	 9.875E-01	 7.763E-01	 1.269E-02
  3.823E+00	 3.823E+00	 9.920E-01	 9.888E-01	 7.324E-01	 1.936E-02
  3.824E+00	 3.824E+00	 9.923E-01	 9.892E-01	 7.678E-01	 1.849E-02
  3.825E+00	 3.824E+00	 9.934E-01	 9.910E-01	 7.689E-01	 1.454E-02
  3.825E+00	 3.824E+00	 9.934E-01	 9.910E-01	 7.816E-01	 1.447E-02
  3.825E+00	 3.825E+00	 9.935E-01	 9.911E-01	 7.767E-01	 1.882E-02
  3.825E+00	 3.825E+00	 9.935E-01	 9.912E-01	 8.262E-01	 1.941E-02
  3.825E+00	 3.825E+00	 9.941E-01	 9.921E-01	 7.554E-01	 1.407E-02
  3.826E+00	 3.826E+00	 9.947E-01	 9.931E-01	 7.605E-01	 1.861E-02
