# ITER#1511 (F57 ref-20-NF-C0, tau=0.5e-6, ntime=150)  - 84.4 ms
# Atomic density (m^-3)
   ix   iy      x           y           z01           z02           z03
   20    3  4.9882E+03 -3.6704E+03  8.827243E+18  7.163192E+16  2.696725E+16
   21    3  5.3781E+03 -2.7440E+03  0.000000E+00  0.000000E+00  0.000000E+00
   22    3  5.2724E+03 -2.6541E+03  0.000000E+00  0.000000E+00  0.000000E+00
   23    3  5.1044E+03 -2.4345E+03  0.000000E+00  0.000000E+00  0.000000E+00
   24    3  4.9526E+03 -2.1336E+03  0.000000E+00  0.000000E+00  0.000000E+00
   25    3  4.8209E+03 -1.8034E+03  0.000000E+00  0.000000E+00  0.000000E+00
   26    3  4.7051E+03 -1.4641E+03  0.000000E+00  0.000000E+00  0.000000E+00
   27    3  4.6042E+03 -1.1197E+03  0.000000E+00  0.000000E+00  0.000000E+00
   28    3  4.5178E+03 -7.7138E+02  0.000000E+00  0.000000E+00  0.000000E+00
   29    3  4.4465E+03 -4.1968E+02  0.000000E+00  0.000000E+00  0.000000E+00
   30    3  4.3893E+03 -6.5464E+01  0.000000E+00  0.000000E+00  0.000000E+00
   31    3  4.3484E+03  2.9069E+02  0.000000E+00  0.000000E+00  0.000000E+00
   32    3  4.3247E+03  6.4862E+02  0.000000E+00  0.000000E+00  0.000000E+00
   33    3  4.3161E+03  1.0072E+03  0.000000E+00  0.000000E+00  0.000000E+00
   34    3  4.3231E+03  1.3653E+03  0.000000E+00  0.000000E+00  0.000000E+00
   35    3  4.3474E+03  1.7213E+03  0.000000E+00  0.000000E+00  0.000000E+00
   36    3  4.3931E+03  2.0732E+03  0.000000E+00  0.000000E+00  0.000000E+00
   37    3  4.4630E+03  2.4181E+03  0.000000E+00  0.000000E+00  0.000000E+00
   38    3  4.5600E+03  2.7503E+03  0.000000E+00  0.000000E+00  0.000000E+00
   39    3  4.6895E+03  3.0586E+03  0.000000E+00  0.000000E+00  0.000000E+00
   40    3  4.8547E+03  3.3241E+03  0.000000E+00  0.000000E+00  0.000000E+00
   41    3  5.0526E+03  3.5264E+03  2.652320E+12  0.000000E+00  0.000000E+00
   42    3  5.2811E+03  3.6559E+03  2.652320E+12  0.000000E+00  0.000000E+00
   43    3  5.5464E+03  3.7110E+03  4.723392E+12  0.000000E+00  0.000000E+00
   44    3  5.8449E+03  3.6888E+03  7.263254E+12  0.000000E+00  0.000000E+00
   45    3  6.1557E+03  3.5950E+03  2.735225E+12  0.000000E+00  0.000000E+00
   46    3  6.4598E+03  3.4450E+03  8.178590E+11  0.000000E+00  0.000000E+00
   47    3  6.7469E+03  3.2513E+03  6.224955E+11  0.000000E+00  0.000000E+00
   48    3  7.0137E+03  3.0235E+03  0.000000E+00  0.000000E+00  0.000000E+00
   49    3  7.2582E+03  2.7691E+03  0.000000E+00  0.000000E+00  0.000000E+00
   50    3  7.4758E+03  2.4910E+03  0.000000E+00  0.000000E+00  0.000000E+00
   51    3  7.6641E+03  2.1911E+03  4.408307E+12  0.000000E+00  0.000000E+00
   52    3  7.8228E+03  1.8737E+03  4.408307E+12  3.070894E+12  0.000000E+00
   53    3  7.9493E+03  1.5423E+03  0.000000E+00  3.070894E+12  0.000000E+00
   54    3  8.0412E+03  1.1994E+03  0.000000E+00  0.000000E+00  0.000000E+00
   55    3  8.0988E+03  8.4888E+02  0.000000E+00  0.000000E+00  0.000000E+00
   56    3  8.1200E+03  4.9511E+02  0.000000E+00  0.000000E+00  0.000000E+00
   57    3  8.1004E+03  1.4153E+02  0.000000E+00  0.000000E+00  0.000000E+00
   58    3  8.0428E+03 -2.0822E+02  0.000000E+00  0.000000E+00  0.000000E+00
   59    3  7.9484E+03 -5.4922E+02  0.000000E+00  0.000000E+00  0.000000E+00
   60    3  7.8161E+03 -8.7671E+02  9.329878E+11  0.000000E+00  0.000000E+00
   61    3  7.6479E+03 -1.1875E+03  9.329878E+11  0.000000E+00  0.000000E+00
   62    3  7.4477E+03 -1.4793E+03  0.000000E+00  0.000000E+00  0.000000E+00
   63    3  7.2206E+03 -1.7509E+03  0.000000E+00  0.000000E+00  0.000000E+00
   64    3  6.9701E+03 -2.0000E+03  1.202233E+13  0.000000E+00  0.000000E+00
   65    3  6.6978E+03 -2.2253E+03  1.202233E+13  0.000000E+00  0.000000E+00
   66    3  6.4078E+03 -2.4277E+03  0.000000E+00  0.000000E+00  0.000000E+00
   67    3  6.1048E+03 -2.6019E+03  0.000000E+00  0.000000E+00  0.000000E+00
   68    3  5.8017E+03 -2.7278E+03  0.000000E+00  0.000000E+00  0.000000E+00
   69    3  5.5424E+03 -2.7704E+03  0.000000E+00  0.000000E+00  0.000000E+00
   70    3  5.4148E+03 -2.7596E+03  3.883938E+18  2.666814E+16  1.894812E+16
   71    3  5.0508E+03 -3.6957E+03  4.900942E+18  1.179607E+17  8.927434E+16
   72    3  5.1244E+03 -3.7520E+03  6.814060E+18  1.436330E+17  1.051620E+17
   73    3  5.2048E+03 -3.8420E+03  5.178674E+18  2.508630E+17  1.704728E+17
   74    3  5.2747E+03 -3.9436E+03  1.163878E+19  2.766777E+17  2.211141E+17
   75    3  5.3338E+03 -4.0421E+03  8.251630E+18  3.267301E+17  3.153372E+17
   76    3  5.3835E+03 -4.1318E+03  1.302214E+19  3.682423E+17  3.402473E+17
   77    3  5.4243E+03 -4.2090E+03  1.290796E+19  4.624024E+17  5.081982E+17
   78    3  5.4566E+03 -4.2723E+03  1.576967E+19  5.717012E+17  1.058709E+18
   79    3  5.4818E+03 -4.3228E+03  2.793615E+19  8.203877E+17  1.608594E+18
   80    3  5.5013E+03 -4.3625E+03  2.932507E+19  1.044444E+18  2.174615E+18
   81    3  5.5162E+03 -4.3934E+03  3.327065E+19  1.159138E+18  2.356743E+18
   82    3  5.5276E+03 -4.4171E+03  3.082663E+19  1.409044E+18  2.062249E+18
   83    3  5.5361E+03 -4.4348E+03  2.299436E+19  1.543466E+18  1.520628E+18
   84    3  5.5421E+03 -4.4475E+03  2.002283E+19  1.746147E+18  1.225496E+18
   85    3  5.5462E+03 -4.4562E+03  2.343158E+19  1.954045E+18  1.281952E+18
   86    3  5.5489E+03 -4.4619E+03  1.503550E+19  2.097550E+18  1.099028E+18
   87    3  5.5506E+03 -4.4657E+03  1.831027E+19  1.974695E+18  1.470469E+18
   88    3  5.5519E+03 -4.4683E+03  6.802497E+18  2.126728E+18  8.472868E+17
   89    3  5.5529E+03 -4.4704E+03  3.720550E+18  9.301234E+17  6.679892E+17
   90    3  5.5538E+03 -4.4724E+03  1.766706E+18  1.031610E+18  2.180029E+17
    1    4  4.1936E+03 -3.8567E+03  2.721438E+18  9.667500E+18  8.626504E+17
    2    4  4.1955E+03 -3.8559E+03  2.717742E+18  6.336179E+18  1.018029E+18
    3    4  4.1975E+03 -3.8551E+03  1.710825E+19  3.989390E+18  1.067279E+18
    4    4  4.2001E+03 -3.8541E+03  1.611119E+19  3.340881E+18  1.879618E+18
    5    4  4.2037E+03 -3.8526E+03  3.523185E+19  5.121754E+18  1.325490E+18
    6    4  4.2091E+03 -3.8504E+03  7.225454E+19  5.554340E+18  2.346145E+18
    7    4  4.2173E+03 -3.8470E+03  5.778879E+19  4.250438E+18  2.744097E+18
    8    4  4.2293E+03 -3.8421E+03  6.883848E+19  2.744872E+18  3.185446E+18
    9    4  4.2459E+03 -3.8354E+03  9.802535E+19  3.320878E+18  2.299283E+18
   10    4  4.2682E+03 -3.8264E+03  7.587883E+19  2.380710E+18  2.328440E+18
   11    4  4.2971E+03 -3.8149E+03  5.230556E+19  2.028787E+18  1.336898E+18
   12    4  4.3339E+03 -3.8004E+03  5.171723E+19  2.176888E+18  6.174713E+17
   13    4  4.3804E+03 -3.7825E+03  2.015374E+19  1.491511E+18  3.809543E+17
   14    4  4.4383E+03 -3.7607E+03  1.223298E+19  1.178887E+18  3.020447E+17
   15    4  4.5097E+03 -3.7350E+03  1.673140E+19  6.020720E+17  2.699008E+17
   16    4  4.5949E+03 -3.7064E+03  1.159209E+19  7.408376E+17  2.989020E+17
   17    4  4.6929E+03 -3.6773E+03  7.384168E+18  4.073623E+17  2.370468E+17
   18    4  4.8011E+03 -3.6528E+03  5.542880E+18  3.421261E+17  1.253475E+17
   19    4  4.9100E+03 -3.6426E+03  5.573493E+18  1.198922E+17  1.053770E+17
   20    4  4.9948E+03 -3.6507E+03  7.380106E+18  9.025237E+16  2.996516E+16
   21    4  5.3442E+03 -2.8063E+03  0.000000E+00  0.000000E+00  0.000000E+00
   22    4  5.2304E+03 -2.6998E+03  0.000000E+00  0.000000E+00  0.000000E+00
   23    4  5.0649E+03 -2.4597E+03  0.000000E+00  0.000000E+00  0.000000E+00
   24    4  4.9210E+03 -2.1476E+03  0.000000E+00  0.000000E+00  0.000000E+00
   25    4  4.7951E+03 -1.8127E+03  0.000000E+00  0.000000E+00  0.000000E+00
   26    4  4.6832E+03 -1.4709E+03  0.000000E+00  0.000000E+00  0.000000E+00
   27    4  4.5846E+03 -1.1249E+03  0.000000E+00  0.000000E+00  0.000000E+00
