   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 20/12/00
 -25.57417 -25.57417 -25.57416 -25.57420 -25.57410 -25.57403 -25.57471 -25.57548
 -25.57549 -25.57688 -25.57848 -25.57898 -25.58414 -25.59960 -25.61863 -25.64948
 -25.60835 -25.60835 -25.60835 -25.60835 -25.60835 -25.60835 -25.60835 -25.60835
 -25.60836 -25.60834 -25.60833 -25.60841 -25.60823 -25.60811 -25.60927 -25.61033
 -25.60980 -25.61154 -25.61314 -25.61196 -25.61608 -25.63003 -25.64623 -25.67382
 -25.65141 -25.65141 -25.65141 -25.65141 -25.65141 -25.65141 -25.65141 -25.65141
 -25.65142 -25.65140 -25.65139 -25.65150 -25.65122 -25.65105 -25.65282 -25.65423
 -25.65302 -25.65521 -25.65681 -25.65351 -25.65633 -25.66838 -25.68101 -25.70449
 -25.67978 -25.67978 -25.67978 -25.67978 -25.67978 -25.67978 -25.67978 -25.67978
 -25.67979 -25.67976 -25.67975 -25.67989 -25.67954 -25.67933 -25.68151 -25.68315
 -25.68149 -25.68398 -25.68558 -25.68088 -25.68284 -25.69363 -25.70391 -25.72469
 -25.70985 -25.70985 -25.70985 -25.70985 -25.70985 -25.70985 -25.70985 -25.70984
 -25.70986 -25.70983 -25.70981 -25.70997 -25.70956 -25.70930 -25.71192 -25.71381
 -25.71167 -25.71447 -25.71607 -25.70990 -25.71094 -25.72040 -25.72819 -25.74610
 -25.74403 -25.74403 -25.74403 -25.74403 -25.74403 -25.74403 -25.74403 -25.74402
 -25.74404 -25.74400 -25.74398 -25.74418 -25.74369 -25.74338 -25.74648 -25.74866
 -25.74597 -25.74913 -25.75073 -25.74288 -25.74289 -25.75084 -25.75580 -25.77045
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 3   / DATE= 20/12/00
 -32.59559 -32.87293 -33.16453 -33.55979 -33.86206 -34.16488 -34.56257 -34.85935
 -35.15514 -35.55199 -35.85481 -36.15756 -36.55628 -36.85770 -37.15794 -37.54947
 -37.84280 -38.13430 -38.51719 -38.80951 -39.10704 -39.51077 -39.82810 -40.15496
 -31.30779 -31.58249 -31.87272 -32.26506 -32.56471 -32.86552 -33.26293 -33.56182
 -33.86009 -34.25701 -34.55893 -34.86094 -35.25875 -35.56000 -35.86108 -36.25612
 -36.55422 -36.85192 -37.24361 -37.54132 -37.84136 -38.24112 -38.54852 -38.85993
 -29.71313 -29.98397 -30.27201 -30.66054 -30.95699 -31.25539 -31.65233 -31.95364
 -32.25486 -32.65195 -32.95297 -33.25434 -33.65134 -33.95243 -34.25427 -34.65247
 -34.95487 -35.25816 -35.65778 -35.96035 -36.26264 -36.65883 -36.95729 -37.25475
 -28.92303 -29.18706 -29.47014 -29.85499 -30.15029 -30.44805 -30.84385 -31.14485
 -31.44632 -31.84376 -32.14545 -32.44788 -32.84612 -33.14741 -33.44817 -33.84194
 -34.13823 -34.43352 -34.82186 -35.11749 -35.41654 -35.81791 -36.12921 -36.44664
 -28.34335 -28.59430 -28.86515 -29.23872 -29.52978 -29.82585 -30.22072 -30.52089
 -30.82111 -31.21611 -31.51430 -31.81213 -32.20513 -32.50495 -32.80918 -33.22007
 -33.53944 -33.86235 -34.27885 -34.57025 -34.82219 -35.07064 -35.19638 -35.28383
 -27.87849 -28.10513 -28.35067 -28.69849 -28.97777 -29.26661 -29.65450 -29.95042
 -30.24611 -30.63026 -30.91132 -31.17423 -31.46903 -31.63580 -31.74990 -31.83525
 -31.86773 -31.88568 -31.89946 -31.90516 -31.90839 -31.91210 -31.91529 -31.92031
 -27.63983 -27.84492 -28.06798 -28.39197 -28.65720 -28.93108 -29.28527 -29.52999
 -29.73635 -29.93076 -30.02154 -30.07741 -30.11958 -30.13797 -30.14948 -30.15815
 -30.16108 -30.16200 -30.16178 -30.16016 -30.15821 -30.15797 -30.15904 -30.16209
 -27.36546 -27.52742 -27.69402 -27.91911 -28.07738 -28.20676 -28.32127 -28.37217
 -28.40280 -28.42439 -28.43208 -28.43552 -28.43673 -28.43576 -28.43387 -28.43165
 -28.43069 -28.43065 -28.43217 -28.43352 -28.43447 -28.43549 -28.43784 -28.44196
 -26.83202 -26.89471 -26.94872 -27.00697 -27.03842 -27.05873 -27.07286 -27.07772
 -27.07997 -27.08119 -27.08154 -27.08174 -27.08208 -27.08237 -27.08265 -27.08292
 -27.08298 -27.08305 -27.08335 -27.08313 -27.08301 -27.08462 -27.08627 -27.08847
 -26.39064 -26.41985 -26.44397 -26.46784 -26.47943 -26.48635 -26.49138 -26.49334
 -26.49437 -26.49519 -26.49559 -26.49578 -26.49572 -26.49562 -26.49555 -26.49543
 -26.49542 -26.49543 -26.49534 -26.49544 -26.49590 -26.49717 -26.49835 -26.50018
 -25.98055 -25.99519 -26.00618 -26.01695 -26.02242 -26.02591 -26.02870 -26.02965
 -26.02992 -26.02999 -26.03005 -26.03013 -26.03020 -26.03025 -26.03031 -26.03037
 -26.03038 -26.03037 -26.03041 -26.03070 -26.03079 -26.03014 -26.03172 -26.03522
 -25.61508 -25.62268 -25.62780 -25.63306 -25.63602 -25.63804 -25.63967 -25.64022
 -25.64039 -25.64050 -25.64052 -25.64052 -25.64057 -25.64059 -25.64058 -25.64058
 -25.64057 -25.64057 -25.64059 -25.64045 -25.64049 -25.64169 -25.64296 -25.64499
 -25.41954 -25.42445 -25.42772 -25.43134 -25.43347 -25.43489 -25.43599 -25.43635
 -25.43647 -25.43656 -25.43659 -25.43659 -25.43663 -25.43665 -25.43665 -25.43667
 -25.43662 -25.43663 -25.43699 -25.43704 -25.43716 -25.43853 -25.44009 -25.44262
 -25.22276 -25.22550 -25.22738 -25.22960 -25.23093 -25.23180 -25.23255 -25.23279
 -25.23286 -25.23292 -25.23294 -25.23294 -25.23294 -25.23293 -25.23293 -25.23295
 -25.23288 -25.23289 -25.23345 -25.23381 -25.23412 -25.23529 -25.23754 -25.24148
 -25.07690 -25.07809 -25.07895 -25.08012 -25.08084 -25.08130 -25.08162 -25.08172
 -25.08177 -25.08188 -25.08193 -25.08193 -25.08190 -25.08189 -25.08189 -25.08189
 -25.08187 -25.08191 -25.08216 -25.08248 -25.08305 -25.08469 -25.08711 -25.09136
 -25.02018 -25.02087 -25.02134 -25.02211 -25.02264 -25.02295 -25.02305 -25.02313
 -25.02316 -25.02284 -25.02266 -25.02272 -25.02299 -25.02309 -25.02306 -25.02307
 -25.02317 -25.02338 -25.02394 -25.02453 -25.02543 -25.02770 -25.03040 -25.03492
 -24.97950 -24.98004 -24.98036 -24.98067 -24.98086 -24.98112 -24.98158 -24.98138
 -24.98149 -24.98402 -24.98502 -24.98471 -24.98476 -24.98489 -24.98485 -24.98486
 -24.98489 -24.98500 -24.98535 -24.98514 -24.98509 -24.98764 -24.99230 -24.99920
 -24.96608 -24.96629 -24.96644 -24.96669 -24.96688 -24.96701 -24.96711 -24.96708
 -24.96710 -24.96746 -24.96760 -24.96756 -24.96754 -24.96755 -24.96755 -24.96752
 -24.96758 -24.96755 -24.96729 -24.96839 -24.97064 -24.97381 -24.97725 -24.98274
 -24.96489 -24.96505 -24.96516 -24.96533 -24.96544 -24.96548 -24.96548 -24.96555
 -24.96553 -24.96504 -24.96484 -24.96490 -24.96493 -24.96492 -24.96494 -24.96500
 -24.96512 -24.96509 -24.96481 -24.96619 -24.96900 -24.97275 -24.97572 -24.98046
 -24.97460 -24.97471 -24.97478 -24.97483 -24.97485 -24.97486 -24.97489 -24.97487
 -24.97488 -24.97510 -24.97519 -24.97516 -24.97516 -24.97513 -24.97507 -24.97507
 -24.97520 -24.97513 -24.97464 -24.97639 -24.97913 -24.98029 -24.98294 -24.98882
 -24.99900 -24.99906 -24.99910 -24.99915 -24.99918 -24.99919 -24.99920 -24.99920
 -24.99920 -24.99918 -24.99919 -24.99919 -24.99915 -24.99931 -24.99955 -24.99955
 -24.99967 -24.99993 -25.00013 -25.00076 -25.00177 -25.00318 -25.00571 -25.01034
 -25.02186 -25.02189 -25.02191 -25.02193 -25.02195 -25.02196 -25.02196 -25.02196
 -25.02197 -25.02197 -25.02198 -25.02198 -25.02196 -25.02202 -25.02211 -25.02214
 -25.02214 -25.02224 -25.02270 -25.02284 -25.02306 -25.02468 -25.02685 -25.03033
