{NUMBER OF COLUMNS}       5
*
* SHOTS  =   24861
* TIMES  =     0.233333 to     0.249333 s
* SMOOTH =       7
* SAMPLE =       1
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    1.132985    0.274889    0.000000    7.89E+18        4.69
    1.133152    0.272783    0.000000    8.25E+18        4.52
    1.134030    0.270705    0.000000    8.53E+18        4.35
    1.134810    0.276944    0.000000    8.65E+18        4.38
    1.137885    0.272423    0.000000    9.08E+18        4.17
    1.138042    0.270303    0.000000    8.81E+18        4.14
    1.138112    0.268210    0.000000    8.99E+18        4.01
    1.138883    0.266148    0.000000    1.08E+19        3.57
    1.139607    0.272423    0.000000    1.06E+19        3.60
    1.142949    0.267821    0.000000    1.12E+19        3.48
    1.142977    0.263638    0.000000    1.11E+19        3.63
    1.143006    0.265715    0.000000    1.14E+19        3.68
    1.143646    0.261589    0.000000    1.19E+19        3.74
    1.144320    0.267900    0.000000    1.20E+19        3.72
    1.147750    0.259065    0.000000    1.17E+19        3.77
    1.147874    0.261128    0.000000    1.21E+19        3.95
    1.147915    0.263219    0.000000    1.25E+19        3.89
    1.148316    0.257031    0.000000    1.26E+19        3.69
    1.148943    0.263378    0.000000    1.27E+19        3.55
    1.152431    0.254492    0.000000    1.28E+19        3.46
    1.152649    0.256541    0.000000    1.26E+19        3.64
    1.152785    0.258618    0.000000    1.26E+19        3.58
    1.152897    0.252473    0.000000    1.19E+19        3.65
    1.153478    0.258856    0.000000    1.13E+19        3.77
    1.153952    0.251410    0.000000    1.08E+19        3.90
    1.154522    0.257803    0.000000    1.08E+19        3.93
    1.155002    0.250348    0.000000    1.08E+19        3.92
    1.155562    0.256749    0.000000    1.15E+19        3.64
    1.157021    0.249919    0.000000    1.17E+19        3.60
    1.157331    0.251954    0.000000    1.22E+19        3.32
    1.157561    0.254016    0.000000    1.27E+19        3.24
    1.158078    0.248854    0.000000    1.33E+19        3.05
    1.159130    0.247788    0.000000    1.30E+19        3.27
    1.161922    0.247366    0.000000    1.29E+19        3.29
    1.162243    0.249415    0.000000    1.33E+19        3.28
    1.162979    0.246297    0.000000    1.36E+19        3.41
    1.164032    0.245227    0.000000    1.19E+19        3.67
    1.166836    0.244812    0.000000    1.14E+19        3.67
    1.167893    0.243740    0.000000    1.09E+19        3.70
    1.168945    0.242667    0.000000    1.11E+19        3.49
{END}
