{NUMBER OF COLUMNS}       4
*
* SHOTS  =   24861
* TIMES  =     0.230053 to     0.249813 s
*
*       PSIn        jsat        jsol          Te
*                (A m-2)       (A ?)        (eV)
{DATA LIST}
    1.090737    6.06E+03    4.81E+03        2.87
    1.090780    5.37E+03    4.10E+03        5.54
    1.090794    5.39E+03    2.85E+03        5.33
    1.090799    5.90E+03    3.57E+03        5.00
    1.091081    5.98E+03    2.57E+03        6.08
    1.091460    5.16E+03    4.63E+03        2.26
    1.091483    9.40E+03    4.04E+03       13.77
    1.091501    8.62E+03    3.56E+03        7.10
    1.091512    5.40E+03    3.24E+03        5.07
    1.091518    5.92E+03    5.19E+03        3.66
    1.091565    5.24E+03    3.58E+03        5.08
    1.091629    6.06E+03    1.44E+03        9.95
    1.092118    5.31E+03    3.25E+03        5.44
    1.092182    5.51E+03    4.50E+03        3.26
    1.092199    5.30E+03    2.07E+03        6.85
    1.092221    5.34E+03    3.49E+03        4.20
    1.092229    5.56E+03    3.39E+03        5.53
    1.092237    5.91E+03    4.07E+03        5.34
    1.092671    5.12E+03    2.39E+03        5.12
    1.092905    5.46E+03    3.32E+03        3.17
    1.092914    5.13E+03    5.13E+03        1.79
    1.092942    5.36E+03    4.86E+03        2.58
    1.092946    5.33E+03    3.78E+03        5.22
    1.092956    4.99E+03    3.92E+03        3.64
    1.093225    5.93E+03    1.23E+03       13.74
    1.093574    8.18E+03    4.45E+03        7.05
    1.093630    5.26E+03    5.26E+03        1.83
    1.093660    6.47E+03    1.08E+02       17.81
    1.093663    5.19E+03    4.42E+03        3.15
    1.093663    5.92E+03    3.30E+03        4.82
    1.093675    8.49E+03    5.26E+03        5.40
    1.093778    5.72E+03    1.26E+03        8.97
    1.094218    4.86E+03    3.25E+03        5.82
    1.094288    5.19E+03    2.50E+03        5.39
    1.094345    5.80E+03    9.34E+02       13.00
    1.094381    5.34E+03    2.95E+03        5.38
    1.094383    5.44E+03    2.90E+03       12.55
    1.094393    5.61E+03    1.77E+03       12.53
    1.094777    5.05E+03   -5.35E+02       16.73
    1.095002    4.94E+03    2.06E+03        6.31
    1.095061    5.35E+03    2.60E+03        4.74
    1.095098    5.14E+03    3.72E+03        4.42
    1.095104    5.41E+03    8.51E+02       13.50
    1.095112    4.89E+03    3.43E+03        3.96
    1.095336    5.33E+03    5.15E+02       11.28
    1.095634    7.58E+03    1.58E+03        7.18
    1.095716    5.13E+03    1.58E+03        8.35
    1.095723    5.11E+03    2.80E+03        5.24
    1.095776    5.85E+03    3.91E+03        6.01
    1.095815    7.62E+03    4.88E+03        5.61
    1.095832    5.32E+03    3.41E+03        4.70
    1.095894    4.54E+03    2.39E+03        5.81
    1.096287    4.54E+03    2.80E+03        5.12
    1.096346    5.90E+03    3.03E+03        9.29
    1.096430    5.49E+03    3.53E+03        5.00
    1.096492    5.26E+03    3.23E+03        5.25
    1.096532    7.22E+03    2.13E+03       13.38
    1.096550    5.05E+03    3.55E+03        4.19
    1.096851    4.43E+03    2.22E+03        7.60
    1.097058    5.40E+03    1.26E+02        9.90
    1.097144    5.00E+03    1.24E+03        5.24
    1.097208    5.21E+03    1.40E+03       13.48
    1.097250    4.92E+03    1.66E+03        7.92
    1.097269    5.04E+03    3.69E+03        4.52
    1.097414    4.92E+03    2.50E+03        5.77
    1.097663    6.40E+03    2.11E+03        6.33
    1.097756    4.60E+03    2.73E+03        5.00
