number of heading lines in this data file : 30
Field Line Tracing Calculations (FLT) performed with CASTEM
Date CASTEM calculations : 14/04/2010
Date post-processing data : 10/06/2010
Modif compared to latest version (26/04/2010): change precision to 5 digits - correct the problem : some entering points shifted 

FIRST WALL GEOMETRY
Outer wall and upper panels from BM8 to BM18
NB. 3D gemoetry of lower baffle not incorporated in the code, horizontal cut in the CASTEM code,
Field line tracing calculations are stopped for the points reaching a vertical location below Z ~ -3.27 m
EQUILIBRIUM
Steady-state, 15 MA, Scenario 1, ITER (eqdsk high resolution, "Baseline 2010", FST, Corsica, Feb. 2010)

PARAMETERS
origin location : omp, Z = 0.60 
number of field lines followed :  300 
Radial extent of origin : from R = 8.3000  m to R = 8.3850 m
radial resolution at origin : 0.000283 
dphi step for FLT calculations in CASTEM : 0.50 
number of steps for calculation in CASTEM - toward the top :   590 
number of steps for calculation in CASTEM - toward the bottom :  340 
number of tangency points :     41 
number of points entering a surface :   2996 
number of points leaving a surface :   2792 
max number of intersection from omp toward top :    30 
max number of intersection from omp toward bottom :    12 
maximum connection length toward top : 32.60 
maximum connection length toward bottom : -21.18 
 181.00000 8.35117 0.00000 0.60000 15.00000 7.00000 22.00000 
 182.00000 8.35145 0.00000 0.60000 15.00000 8.00000 23.00000 
 183.00000 8.35174 0.00000 0.60000 15.00000 8.00000 23.00000 
 184.00000 8.35202 0.00000 0.60000 11.00000 8.00000 19.00000 
 185.00000 8.35231 0.00000 0.60000 11.00000 9.00000 20.00000 
 186.00000 8.35259 0.00000 0.60000 11.00000 8.00000 19.00000 
 187.00000 8.35288 0.00000 0.60000 11.00000 8.00000 19.00000 
 188.00000 8.35316 0.00000 0.60000 11.00000 8.00000 19.00000 
 189.00000 8.35344 0.00000 0.60000 11.00000 8.00000 19.00000 
 190.00000 8.35373 0.00000 0.60000 11.00000 8.00000 19.00000 
 191.00000 8.35401 0.00000 0.60000 5.00000 10.00000 15.00000 
 192.00000 8.35430 0.00000 0.60000 5.00000 10.00000 15.00000 
 193.00000 8.35458 0.00000 0.60000 5.00000 10.00000 15.00000 
 194.00000 8.35487 0.00000 0.60000 5.00000 10.00000 15.00000 
 195.00000 8.35515 0.00000 0.60000 5.00000 10.00000 15.00000 
 196.00000 8.35543 0.00000 0.60000 5.00000 10.00000 15.00000 
 197.00000 8.35572 0.00000 0.60000 5.00000 11.00000 16.00000 
 198.00000 8.35600 0.00000 0.60000 5.00000 11.00000 16.00000 
 199.00000 8.35629 0.00000 0.60000 5.00000 12.00000 17.00000 
 200.00000 8.35657 0.00000 0.60000 5.00000 12.00000 17.00000 
 201.00000 8.35686 0.00000 0.60000 5.00000 12.00000 17.00000 
 202.00000 8.35714 0.00000 0.60000 5.00000 12.00000 17.00000 
 203.00000 8.35742 0.00000 0.60000 4.00000 12.00000 16.00000 
 204.00000 8.35771 0.00000 0.60000 4.00000 12.00000 16.00000 
 205.00000 8.35799 0.00000 0.60000 4.00000 12.00000 16.00000 
 206.00000 8.35828 0.00000 0.60000 4.00000 12.00000 16.00000 
 207.00000 8.35856 0.00000 0.60000 4.00000 12.00000 16.00000 
 208.00000 8.35885 0.00000 0.60000 4.00000 12.00000 16.00000 
 209.00000 8.35913 0.00000 0.60000 4.00000 12.00000 16.00000 
 210.00000 8.35941 0.00000 0.60000 4.00000 12.00000 16.00000 
 211.00000 8.35970 0.00000 0.60000 4.00000 12.00000 16.00000 
 212.00000 8.35998 0.00000 0.60000 4.00000 12.00000 16.00000 
 213.00000 8.36027 0.00000 0.60000 3.00000 12.00000 15.00000 
 214.00000 8.36055 0.00000 0.60000 3.00000 12.00000 15.00000 
 215.00000 8.36084 0.00000 0.60000 3.00000 12.00000 15.00000 
 216.00000 8.36112 0.00000 0.60000 3.00000 12.00000 15.00000 
 217.00000 8.36140 0.00000 0.60000 3.00000 12.00000 15.00000 
 218.00000 8.36169 0.00000 0.60000 3.00000 12.00000 15.00000 
 219.00000 8.36197 0.00000 0.60000 3.00000 12.00000 15.00000 
 220.00000 8.36226 0.00000 0.60000 3.00000 12.00000 15.00000 
 221.00000 8.36254 0.00000 0.60000 4.00000 12.00000 16.00000 
 222.00000 8.36283 0.00000 0.60000 5.00000 12.00000 17.00000 
 223.00000 8.36311 0.00000 0.60000 5.00000 12.00000 17.00000 
 224.00000 8.36339 0.00000 0.60000 4.00000 12.00000 16.00000 
 225.00000 8.36368 0.00000 0.60000 4.00000 12.00000 16.00000 
 226.00000 8.36396 0.00000 0.60000 4.00000 12.00000 16.00000 
 227.00000 8.36425 0.00000 0.60000 3.00000 12.00000 15.00000 
 228.00000 8.36453 0.00000 0.60000 3.00000 12.00000 15.00000 
 229.00000 8.36482 0.00000 0.60000 3.00000 12.00000 15.00000 
 230.00000 8.36510 0.00000 0.60000 3.00000 12.00000 15.00000 
 231.00000 8.36538 0.00000 0.60000 3.00000 12.00000 15.00000 
 232.00000 8.36567 0.00000 0.60000 4.00000 12.00000 16.00000 
 233.00000 8.36595 0.00000 0.60000 4.00000 12.00000 16.00000 
 234.00000 8.36624 0.00000 0.60000 4.00000 12.00000 16.00000 
 235.00000 8.36652 0.00000 0.60000 4.00000 12.00000 16.00000 
 236.00000 8.36681 0.00000 0.60000 4.00000 12.00000 16.00000 
 237.00000 8.36709 0.00000 0.60000 4.00000 12.00000 16.00000 
 238.00000 8.36737 0.00000 0.60000 4.00000 12.00000 16.00000 
 239.00000 8.36766 0.00000 0.60000 4.00000 11.00000 15.00000 
 240.00000 8.36794 0.00000 0.60000 4.00000 11.00000 15.00000 
 241.00000 8.36823 0.00000 0.60000 4.00000 11.00000 15.00000 
 242.00000 8.36851 0.00000 0.60000 4.00000 11.00000 15.00000 
 243.00000 8.36880 0.00000 0.60000 4.00000 11.00000 15.00000 
 244.00000 8.36908 0.00000 0.60000 4.00000 11.00000 15.00000 
 245.00000 8.36936 0.00000 0.60000 4.00000 11.00000 15.00000 
 246.00000 8.36965 0.00000 0.60000 4.00000 11.00000 15.00000 
 247.00000 8.36993 0.00000 0.60000 4.00000 11.00000 15.00000 
 248.00000 8.37022 0.00000 0.60000 3.00000 11.00000 14.00000 
 249.00000 8.37050 0.00000 0.60000 3.00000 11.00000 14.00000 
 250.00000 8.37079 0.00000 0.60000 3.00000 11.00000 14.00000 
 251.00000 8.37107 0.00000 0.60000 3.00000 11.00000 14.00000 
 252.00000 8.37135 0.00000 0.60000 4.00000 11.00000 15.00000 
 253.00000 8.37164 0.00000 0.60000 4.00000 11.00000 15.00000 
 254.00000 8.37192 0.00000 0.60000 4.00000 11.00000 15.00000 
 255.00000 8.37221 0.00000 0.60000 4.00000 11.00000 15.00000 
 256.00000 8.37249 0.00000 0.60000 4.00000 11.00000 15.00000 
 257.00000 8.37278 0.00000 0.60000 4.00000 11.00000 15.00000 
 258.00000 8.37306 0.00000 0.60000 4.00000 11.00000 15.00000 
 259.00000 8.37334 0.00000 0.60000 4.00000 11.00000 15.00000 
 260.00000 8.37363 0.00000 0.60000 4.00000 11.00000 15.00000 
 261.00000 8.37391 0.00000 0.60000 4.00000 11.00000 15.00000 
 262.00000 8.37420 0.00000 0.60000 4.00000 10.00000 14.00000 
 263.00000 8.37448 0.00000 0.60000 4.00000 10.00000 14.00000 
 264.00000 8.37477 0.00000 0.60000 4.00000 9.00000 13.00000 
 265.00000 8.37505 0.00000 0.60000 4.00000 9.00000 13.00000 
 266.00000 8.37533 0.00000 0.60000 4.00000 10.00000 14.00000 
 267.00000 8.37562 0.00000 0.60000 4.00000 10.00000 14.00000 
 268.00000 8.37590 0.00000 0.60000 4.00000 10.00000 14.00000 
 269.00000 8.37619 0.00000 0.60000 4.00000 10.00000 14.00000 
 270.00000 8.37647 0.00000 0.60000 4.00000 10.00000 14.00000 
 271.00000 8.37676 0.00000 0.60000 4.00000 11.00000 15.00000 
 272.00000 8.37704 0.00000 0.60000 4.00000 11.00000 15.00000 
 273.00000 8.37732 0.00000 0.60000 4.00000 10.00000 14.00000 
 274.00000 8.37761 0.00000 0.60000 4.00000 10.00000 14.00000 
 275.00000 8.37789 0.00000 0.60000 4.00000 10.00000 14.00000 
 276.00000 8.37818 0.00000 0.60000 4.00000 9.00000 13.00000 
 277.00000 8.37846 0.00000 0.60000 4.00000 9.00000 13.00000 
 278.00000 8.37875 0.00000 0.60000 4.00000 9.00000 13.00000 
 279.00000 8.37903 0.00000 0.60000 4.00000 9.00000 13.00000 
 280.00000 8.37931 0.00000 0.60000 4.00000 9.00000 13.00000 
 281.00000 8.37960 0.00000 0.60000 4.00000 9.00000 13.00000 
 282.00000 8.37988 0.00000 0.60000 4.00000 9.00000 13.00000 
 283.00000 8.38017 0.00000 0.60000 4.00000 9.00000 13.00000 
 284.00000 8.38045 0.00000 0.60000 4.00000 9.00000 13.00000 
 285.00000 8.38074 0.00000 0.60000 4.00000 9.00000 13.00000 
 286.00000 8.38102 0.00000 0.60000 4.00000 11.00000 15.00000 
 287.00000 8.38130 0.00000 0.60000 4.00000 11.00000 15.00000 
 288.00000 8.38159 0.00000 0.60000 4.00000 10.00000 14.00000 
 289.00000 8.38187 0.00000 0.60000 4.00000 9.00000 13.00000 
 290.00000 8.38216 0.00000 0.60000 4.00000 9.00000 13.00000 
 291.00000 8.38244 0.00000 0.60000 4.00000 9.00000 13.00000 
 292.00000 8.38273 0.00000 0.60000 4.00000 9.00000 13.00000 
 293.00000 8.38301 0.00000 0.60000 4.00000 9.00000 13.00000 
 294.00000 8.38329 0.00000 0.60000 4.00000 9.00000 13.00000 
 295.00000 8.38358 0.00000 0.60000 4.00000 9.00000 13.00000 
 296.00000 8.38386 0.00000 0.60000 4.00000 9.00000 13.00000 
 297.00000 8.38415 0.00000 0.60000 4.00000 8.00000 12.00000 
 298.00000 8.38443 0.00000 0.60000 4.00000 8.00000 12.00000 
 299.00000 8.38472 0.00000 0.60000 4.00000 8.00000 12.00000 
 300.00000 8.38500 0.00000 0.60000 4.00000 8.00000 12.00000 
