# ITER#1540 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 82.7 ms
# Atomic density (m^-3)
   ix   iy      x           y           z01           z02           z03
   46    3  6.4598E+03  3.4450E+03  0.000000E+00  0.000000E+00  0.000000E+00
   47    3  6.7469E+03  3.2513E+03  0.000000E+00  0.000000E+00  0.000000E+00
   48    3  7.0137E+03  3.0235E+03  7.192043E+12  0.000000E+00  0.000000E+00
   49    3  7.2582E+03  2.7691E+03  7.192043E+12  0.000000E+00  0.000000E+00
   50    3  7.4758E+03  2.4910E+03  9.423792E+13  0.000000E+00  0.000000E+00
   51    3  7.6641E+03  2.1911E+03  9.691457E+13  0.000000E+00  0.000000E+00
   52    3  7.8228E+03  1.8737E+03  6.803078E+12  0.000000E+00  0.000000E+00
   53    3  7.9493E+03  1.5423E+03  4.126428E+12  0.000000E+00  0.000000E+00
   54    3  8.0412E+03  1.1994E+03  0.000000E+00  0.000000E+00  0.000000E+00
   55    3  8.0988E+03  8.4888E+02  0.000000E+00  0.000000E+00  0.000000E+00
   56    3  8.1200E+03  4.9511E+02  0.000000E+00  0.000000E+00  0.000000E+00
   57    3  8.1004E+03  1.4153E+02  2.418429E+12  0.000000E+00  0.000000E+00
   58    3  8.0428E+03 -2.0822E+02  2.418429E+12  0.000000E+00  0.000000E+00
   59    3  7.9484E+03 -5.4922E+02  0.000000E+00  0.000000E+00  0.000000E+00
   60    3  7.8161E+03 -8.7671E+02  0.000000E+00  0.000000E+00  0.000000E+00
   61    3  7.6479E+03 -1.1875E+03  0.000000E+00  0.000000E+00  0.000000E+00
   62    3  7.4477E+03 -1.4793E+03  0.000000E+00  0.000000E+00  0.000000E+00
   63    3  7.2206E+03 -1.7509E+03  0.000000E+00  0.000000E+00  0.000000E+00
   64    3  6.9701E+03 -2.0000E+03  0.000000E+00  0.000000E+00  0.000000E+00
   65    3  6.6978E+03 -2.2253E+03  0.000000E+00  0.000000E+00  0.000000E+00
   66    3  6.4078E+03 -2.4277E+03  0.000000E+00  0.000000E+00  0.000000E+00
   67    3  6.1048E+03 -2.6019E+03  0.000000E+00  0.000000E+00  0.000000E+00
   68    3  5.8017E+03 -2.7278E+03  0.000000E+00  0.000000E+00  0.000000E+00
   69    3  5.5424E+03 -2.7704E+03  0.000000E+00  0.000000E+00  0.000000E+00
   70    3  5.4148E+03 -2.7596E+03  6.236453E+18  2.501521E+16  3.091894E+16
   71    3  5.0508E+03 -3.6957E+03  1.101242E+19  8.471974E+16  1.131763E+17
   72    3  5.1244E+03 -3.7520E+03  1.098866E+19  1.875300E+17  2.448677E+17
   73    3  5.2048E+03 -3.8420E+03  1.335528E+19  1.763761E+17  2.708739E+17
   74    3  5.2747E+03 -3.9436E+03  2.131042E+19  2.238875E+17  3.437307E+17
   75    3  5.3338E+03 -4.0421E+03  2.158606E+19  2.573912E+17  4.628117E+17
   76    3  5.3835E+03 -4.1318E+03  4.416083E+19  2.417556E+17  5.437401E+17
   77    3  5.4243E+03 -4.2090E+03  4.525422E+19  2.968334E+17  1.052516E+18
   78    3  5.4566E+03 -4.2723E+03  5.954463E+19  3.905610E+17  1.478910E+18
   79    3  5.4818E+03 -4.3228E+03  7.957136E+19  4.913124E+17  2.256454E+18
   80    3  5.5013E+03 -4.3625E+03  6.165022E+19  5.488258E+17  2.222957E+18
   81    3  5.5162E+03 -4.3934E+03  8.292246E+19  8.333567E+17  2.798389E+18
   82    3  5.5276E+03 -4.4171E+03  6.629592E+19  9.129361E+17  1.951534E+18
   83    3  5.5361E+03 -4.4348E+03  6.121180E+19  1.187925E+18  1.773748E+18
   84    3  5.5421E+03 -4.4475E+03  5.218649E+19  1.540686E+18  1.408237E+18
   85    3  5.5462E+03 -4.4562E+03  3.750196E+19  1.997091E+18  6.637089E+17
   86    3  5.5489E+03 -4.4619E+03  2.607938E+19  2.364065E+18  9.516330E+17
   87    3  5.5506E+03 -4.4657E+03  1.852340E+19  2.616976E+18  4.112551E+17
   88    3  5.5519E+03 -4.4683E+03  1.554510E+19  3.032915E+18  5.397938E+17
   89    3  5.5529E+03 -4.4704E+03  6.634666E+18  1.309652E+18  2.010378E+17
   90    3  5.5538E+03 -4.4724E+03  6.770469E+18  1.598860E+18  1.596875E+17
    1    4  4.1936E+03 -3.8567E+03  0.000000E+00  8.591298E+18  8.740320E+17
    2    4  4.1955E+03 -3.8559E+03  0.000000E+00  7.836086E+18  1.176483E+18
    3    4  4.1975E+03 -3.8551E+03  0.000000E+00  5.221651E+18  1.572389E+18
    4    4  4.2001E+03 -3.8541E+03  1.083414E+19  2.790278E+18  1.803837E+18
    5    4  4.2037E+03 -3.8526E+03  6.132486E+19  2.144540E+18  2.407965E+18
    6    4  4.2091E+03 -3.8504E+03  4.474838E+19  2.804960E+18  2.596944E+18
    7    4  4.2173E+03 -3.8470E+03  7.145243E+19  3.311230E+18  2.723865E+18
    8    4  4.2293E+03 -3.8421E+03  8.977839E+19  2.318888E+18  2.292566E+18
    9    4  4.2459E+03 -3.8354E+03  8.523202E+19  1.626949E+18  4.363320E+18
   10    4  4.2682E+03 -3.8264E+03  6.214047E+19  1.478437E+18  2.747065E+18
   11    4  4.2971E+03 -3.8149E+03  5.690142E+19  9.544678E+17  2.033650E+18
   12    4  4.3339E+03 -3.8004E+03  4.331067E+19  8.045728E+17  1.650350E+18
   13    4  4.3804E+03 -3.7825E+03  1.706513E+19  6.452995E+17  1.315006E+18
   14    4  4.4383E+03 -3.7607E+03  2.369248E+19  7.188397E+17  1.129288E+18
   15    4  4.5097E+03 -3.7350E+03  4.349410E+19  6.534066E+17  6.237549E+17
   16    4  4.5949E+03 -3.7064E+03  3.406841E+19  6.181982E+17  6.063360E+17
   17    4  4.6929E+03 -3.6773E+03  2.121964E+19  4.782468E+17  5.390495E+17
   18    4  4.8011E+03 -3.6528E+03  2.353378E+19  1.404867E+17  3.579412E+17
   19    4  4.9100E+03 -3.6426E+03  1.307736E+19  8.941975E+16  2.120130E+17
   20    4  4.9948E+03 -3.6507E+03  9.455225E+18  5.906930E+16  3.074233E+17
   21    4  5.3442E+03 -2.8063E+03  0.000000E+00  0.000000E+00  0.000000E+00
   22    4  5.2304E+03 -2.6998E+03  0.000000E+00  0.000000E+00  0.000000E+00
   23    4  5.0649E+03 -2.4597E+03  0.000000E+00  0.000000E+00  0.000000E+00
   24    4  4.9210E+03 -2.1476E+03  0.000000E+00  0.000000E+00  0.000000E+00
   25    4  4.7951E+03 -1.8127E+03  0.000000E+00  0.000000E+00  0.000000E+00
   26    4  4.6832E+03 -1.4709E+03  0.000000E+00  0.000000E+00  0.000000E+00
   27    4  4.5846E+03 -1.1249E+03  0.000000E+00  0.000000E+00  0.000000E+00
