* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
336.000  84.000   8.329   0.668  -0.467
337.000  85.000   8.303   0.615  -0.455
338.000  85.000   8.320   0.668  -0.463
339.000  85.000   8.329   0.668  -0.467
340.000  85.000   8.312   0.615  -0.459
341.000  86.000   8.297   0.562  -0.452
342.000  86.000   8.303   0.615  -0.455
343.000  86.000   8.312   0.615  -0.459
344.000  86.000   8.306   0.562  -0.456
345.000  87.000   8.293   0.509  -0.451
346.000  87.000   8.297   0.562  -0.452
347.000  87.000   8.306   0.562  -0.456
348.000  87.000   8.302   0.509  -0.455
349.000  88.000   8.291   0.456  -0.450
350.000  88.000   8.293   0.509  -0.451
351.000  88.000   8.302   0.509  -0.455
352.000  88.000   8.300   0.456  -0.454
353.000  89.000   8.289   0.403  -0.449
354.000  89.000   8.291   0.456  -0.450
355.000  89.000   8.300   0.456  -0.454
356.000  89.000   8.298   0.403  -0.453
357.000  90.000   8.287   0.351  -0.448
358.000  90.000   8.289   0.403  -0.449
359.000  90.000   8.298   0.403  -0.453
360.000  90.000   8.297   0.351  -0.452
361.000  91.000   8.286   0.298  -0.448
362.000  91.000   8.287   0.351  -0.448
363.000  91.000   8.297   0.351  -0.452
364.000  91.000   8.295   0.298  -0.452
365.000  92.000   8.285   0.245  -0.447
366.000  92.000   8.286   0.298  -0.448
367.000  92.000   8.295   0.298  -0.452
368.000  92.000   8.294   0.245  -0.451
369.000  93.000   8.287   0.194  -0.448
370.000  93.000   8.285   0.245  -0.447
371.000  93.000   8.294   0.245  -0.451
372.000  93.000   8.296   0.194  -0.452
373.000  94.000   8.290   0.142  -0.449
374.000  94.000   8.287   0.194  -0.448
375.000  94.000   8.296   0.194  -0.452
376.000  94.000   8.299   0.142  -0.453
377.000  95.000   8.292   0.091  -0.450
378.000  95.000   8.290   0.142  -0.449
379.000  95.000   8.299   0.142  -0.453
380.000  95.000   8.301   0.091  -0.454
381.000  96.000   8.295   0.040  -0.452
382.000  96.000   8.292   0.091  -0.450
383.000  96.000   8.301   0.091  -0.454
384.000  96.000   8.304   0.040  -0.456
385.000  97.000   8.296   0.030  -0.452
386.000  97.000   8.295   0.040  -0.452
387.000  97.000   8.304   0.040  -0.456
388.000  97.000   8.305   0.030  -0.456
389.000  98.000   8.291   0.030  -0.461
390.000  98.000   8.296   0.030  -0.452
391.000  98.000   8.305   0.030  -0.456
392.000  98.000   8.301   0.030  -0.465
393.000  99.000   8.272   0.030  -0.504
394.000  99.000   8.291   0.030  -0.461
395.000  99.000   8.301   0.030  -0.465
396.000  99.000   8.281   0.030  -0.508
397.000 100.000   8.253   0.030  -0.547
398.000 100.000   8.272   0.030  -0.504
399.000 100.000   8.281   0.030  -0.508
400.000 100.000   8.262   0.030  -0.551
