* BM 3D coordinates - CATIA meshed model BM13-16 (Houda) - extracted with CASTEM (waiting for CATIA licence...)
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 25/03/2011
* Date Matlab post-processing data : 29/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve
* Modif compared to latest version : Here, CATIA model and elements = triangles ! 
* 
* FIRST WALL GEOMETRY:
* Updated draft model CATIA (Houda - 2010) from DO
* spatial resolution chosen in CATIA - TRIANGLES
* 
* DATA
* 
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
369.000 123.000   7.569  -2.787  -0.986
370.000 124.000   7.553  -2.714  -1.150
371.000 124.000   7.630  -2.594  -1.051
372.000 124.000   7.595  -2.729  -1.047
373.000 125.000   7.630  -2.388  -1.115
374.000 125.000   7.568  -2.431  -1.213
375.000 125.000   7.637  -2.457  -1.045
376.000 126.000   7.568  -2.431  -1.213
377.000 126.000   7.575  -2.588  -1.100
378.000 126.000   7.637  -2.457  -1.045
379.000 127.000   7.628  -2.522  -1.099
380.000 127.000   7.520  -2.589  -1.294
381.000 127.000   7.612  -2.446  -1.181
382.000 128.000   7.612  -2.446  -1.181
383.000 128.000   7.520  -2.589  -1.294
384.000 128.000   7.542  -2.421  -1.350
385.000 129.000   7.542  -2.421  -1.350
386.000 129.000   7.630  -2.388  -1.189
387.000 129.000   7.612  -2.446  -1.181
388.000 130.000   7.507  -2.764  -1.133
389.000 130.000   7.483  -2.759  -1.263
390.000 130.000   7.449  -2.743  -1.272
391.000 131.000   7.429  -2.793  -1.265
392.000 131.000   7.507  -2.764  -1.133
393.000 131.000   7.449  -2.743  -1.272
394.000 132.000   7.510  -2.698  -1.252
395.000 132.000   7.525  -2.707  -1.140
396.000 132.000   7.469  -2.687  -1.275
397.000 133.000   7.520  -2.589  -1.294
398.000 133.000   7.553  -2.714  -1.150
399.000 133.000   7.510  -2.698  -1.252
400.000 134.000   7.525  -2.707  -1.140
401.000 134.000   7.486  -2.589  -1.294
402.000 134.000   7.469  -2.687  -1.275
403.000 135.000   7.983  -2.151  -0.584
404.000 135.000   7.917  -2.160  -0.703
405.000 135.000   7.973  -2.180  -0.570
406.000 136.000   7.917  -2.160  -0.703
407.000 136.000   7.983  -2.151  -0.584
408.000 136.000   7.931  -2.137  -0.704
409.000 137.000   7.983  -2.151  -0.584
410.000 137.000   7.959  -2.147  -0.711
411.000 137.000   7.931  -2.137  -0.704
412.000 138.000   8.021  -2.163  -0.569
413.000 138.000   7.987  -2.191  -0.603
414.000 138.000   7.959  -2.147  -0.711
415.000 139.000   7.959  -2.147  -0.711
416.000 139.000   7.987  -2.191  -0.603
417.000 139.000   7.936  -2.173  -0.726
418.000 140.000   7.825  -2.390  -0.698
419.000 140.000   7.918  -2.391  -0.501
420.000 140.000   7.917  -2.160  -0.703
421.000 141.000   7.917  -2.160  -0.703
422.000 141.000   7.918  -2.391  -0.501
423.000 141.000   7.973  -2.180  -0.570
424.000 142.000   7.862  -2.389  -0.694
425.000 142.000   7.987  -2.191  -0.603
426.000 142.000   7.953  -2.389  -0.501
427.000 143.000   7.953  -2.389  -0.501
428.000 143.000   7.987  -2.191  -0.603
429.000 143.000   8.050  -2.214  -0.453
430.000 144.000   7.897  -2.131  -0.852
431.000 144.000   7.936  -2.173  -0.726
432.000 144.000   7.885  -2.154  -0.849
433.000 145.000   7.931  -2.137  -0.704
434.000 145.000   7.897  -2.131  -0.852
435.000 145.000   7.872  -2.122  -0.837
436.000 146.000   7.460  -3.431  -0.765
437.000 146.000   7.488  -3.476  -0.685
438.000 146.000   7.441  -3.454  -0.800
439.000 147.000   7.830  -2.193  -0.848
440.000 147.000   7.917  -2.160  -0.703
441.000 147.000   7.872  -2.122  -0.837
442.000 148.000   7.936  -2.173  -0.726
443.000 148.000   7.829  -2.388  -0.766
