1.00
*     IK    IR          PSIn       B_ratio
      16    11     0.9906520     0.1633758     0.1246012
      17    11     0.9906405     0.1440427     0.1247548
      18    11     0.9906458     0.1252911     0.1246838
      19    11     0.9906459     0.1072131     0.1246834
      20    11     0.9906346     0.0916714     0.1248334
      21    11     0.9906481     0.0819713     0.1246532
      22    11     0.9906394     0.0827061     0.1247701
      23    11     0.9906318     0.0985688     0.1248709
      24    11     0.9906314     0.1218151     0.1248754
      25    11     0.9906230     0.1464006     0.1249878
      26    11     0.9906231     0.1720511     0.1249861
      27    11     0.9906110     0.1977691     0.1251486
      28    11     0.9906335     0.2206373     0.1248486
      29    11     0.9906069     0.2428234     0.1252028
      30    11     0.9906129     0.2635301     0.1251228
      31    11     0.9906088     0.2804929     0.1251776
      32    11     0.9906213     0.2948413     0.1250103
      33    11     0.9906076     0.3064814     0.1251938
      34    11     0.9905712     0.3139349     0.1256780
      35    11     0.9906071     0.3103113     0.1251995
      36    11     0.9905780     0.3139284     0.1255884
      37    11     0.9905793     0.3061857     0.1255708
      38    11     0.9906148     0.3051914     0.1250972
      39    11     0.9905797     0.2951271     0.1255648
      40    11     0.9905849     0.2823143     0.1254958
      41    11     0.9906217     0.2695945     0.1250051
      42    11     0.9906192     0.2541596     0.1250393
      43    11     0.9906042     0.2333721     0.1252382
      44    11     0.9906037     0.2125829     0.1252449
      45    11     0.9906161     0.1908270     0.1250796
      46    11     0.9906210     0.1627042     0.1250152
      47    11     0.9906228     0.1339395     0.1249903
      48    11     0.9906199     0.1016922     0.1250297
      49    11     0.9906247     0.0646067     0.1249656
      50    11     0.9906304     0.0344634     0.1248892
      51    11     0.9907806     0.0343066     0.1228872
       1    12     0.9952463     0.0302805     0.0633628
       2    12     0.9950689     0.0589582     0.0657279
       3    12     0.9950561     0.0881891     0.0658978
       4    12     0.9950570     0.1129946     0.0658870
       5    12     0.9950594     0.1363642     0.0658543
       6    12     0.9950663     0.1577622     0.0657619
       7    12     0.9950695     0.1760594     0.0657190
       8    12     0.9950716     0.1903774     0.0656924
       9    12     0.9950635     0.2021969     0.0657996
      10    12     0.9950678     0.2092894     0.0657429
      11    12     0.9950774     0.2121993     0.0656140
      12    12     0.9950698     0.2078695     0.0657161
      13    12     0.9950676     0.2017400     0.0657453
      14    12     0.9950630     0.1914284     0.0658069
      15    12     0.9950685     0.1784651     0.0657329
      16    12     0.9950782     0.1623401     0.0656035
      17    12     0.9950679     0.1431050     0.0657407
      18    12     0.9950734     0.1243681     0.0656675
      19    12     0.9950740     0.1060994     0.0656595
      20    12     0.9950604     0.0903377     0.0658411
      21    12     0.9950671     0.0802942     0.0657522
      22    12     0.9950662     0.0815657     0.0657632
      23    12     0.9950594     0.0982769     0.0658539
      24    12     0.9950594     0.1219080     0.0658545
      25    12     0.9950501     0.1471103     0.0659778
      26    12     0.9950458     0.1727195     0.0660355
      27    12     0.9950471     0.1981642     0.0660179
      28    12     0.9950610     0.2208605     0.0658329
      29    12     0.9950314     0.2434991     0.0662277
      30    12     0.9950462     0.2640263     0.0660298
      31    12     0.9950278     0.2813271     0.0662754
      32    12     0.9950456     0.2959223     0.0660386
      33    12     0.9950102     0.3072199     0.0665097
      34    12     0.9950244     0.3144639     0.0663207
      35    12     0.9950453     0.3118336     0.0660417
      36    12     0.9950079     0.3149745     0.0665414
      37    12     0.9950143     0.3076610     0.0664553
      38    12     0.9950468     0.3056027     0.0660225
      39    12     0.9950271     0.2958946     0.0662847
      40    12     0.9949947     0.2835407     0.0667167
      41    12     0.9950545     0.2707012     0.0659190
      42    12     0.9950422     0.2551674     0.0660839
      43    12     0.9950364     0.2346416     0.0661603
      44    12     0.9950409     0.2141177     0.0661015
      45    12     0.9950403     0.1912792     0.0661095
      46    12     0.9950561     0.1641026     0.0658981
      47    12     0.9950530     0.1351548     0.0659394
      48    12     0.9950588     0.1030453     0.0658625
      49    12     0.9950519     0.0656792     0.0659541
      50    12     0.9950599     0.0308703     0.0658479
      51    12     0.9952463     0.0302805     0.0633628
       1    13     0.9992118     0.0246768     0.0105065
       2    13     0.9984828     0.0583040     0.0202227
       3    13     0.9984836     0.0876266     0.0202118
       4    13     0.9984843     0.1126444     0.0202036
       5    13     0.9984857     0.1360188     0.0201850
       6    13     0.9984912     0.1574149     0.0201112
       7    13     0.9984938     0.1757611     0.0200761
       8    13     0.9985012     0.1900798     0.0199783
       9    13     0.9984935     0.2015132     0.0200807
      10    13     0.9984918     0.2089389     0.0201037
      11    13     0.9985000     0.2113948     0.0199935
      12    13     0.9984918     0.2074916     0.0201035
      13    13     0.9984890     0.2014248     0.0201407
      14    13     0.9984880     0.1910770     0.0201543
      15    13     0.9984909     0.1778018     0.0201148
      16    13     0.9984964     0.1614766     0.0200419
      17    13     0.9984924     0.1423906     0.0200956
      18    13     0.9984993     0.1236524     0.0200037
      19    13     0.9984960     0.1052114     0.0200472
