# ITER#1515 (F57 ref-20-NF-C0, tau=0.36e-6, ntime=150)  - 82.6 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    6    2  4.2004E+03 -3.8683E+03 -1.070827E+03 -1.086306E+03 -1.075794E+03 -1.106324E+03 -1.081448E+03 -1.076428E+03 -1.074640E+03 -1.073810E+03 -1.073344E+03
    7    2  4.2086E+03 -3.8650E+03 -1.401038E+03 -1.414421E+03 -1.404205E+03 -1.437459E+03 -1.409529E+03 -1.404784E+03 -1.403193E+03 -1.402453E+03 -1.402039E+03
    8    2  4.2205E+03 -3.8603E+03 -1.317143E+03 -1.340274E+03 -1.322669E+03 -1.377376E+03 -1.332716E+03 -1.324117E+03 -1.321095E+03 -1.319642E+03 -1.318837E+03
    9    2  4.2371E+03 -3.8538E+03 -2.162495E+03 -2.128191E+03 -2.144093E+03 -2.122357E+03 -2.134982E+03 -2.143278E+03 -2.147617E+03 -2.149992E+03 -2.151404E+03
   10    2  4.2593E+03 -3.8451E+03 -2.898832E+03 -2.821098E+03 -2.837677E+03 -2.841915E+03 -2.822325E+03 -2.834748E+03 -2.848585E+03 -2.858374E+03 -2.864936E+03
   11    2  4.2881E+03 -3.8339E+03 -2.578871E+03 -2.629358E+03 -2.575736E+03 -2.703704E+03 -2.607894E+03 -2.580086E+03 -2.574376E+03 -2.574268E+03 -2.575345E+03
   12    2  4.3249E+03 -3.8199E+03 -2.614575E+03 -2.792390E+03 -2.700345E+03 -2.829511E+03 -2.768323E+03 -2.711989E+03 -2.682816E+03 -2.666973E+03 -2.657563E+03
   13    2  4.3713E+03 -3.8027E+03 -2.625854E+03 -2.840927E+03 -2.720456E+03 -2.856106E+03 -2.812222E+03 -2.736288E+03 -2.700626E+03 -2.682529E+03 -2.672062E+03
   14    2  4.4294E+03 -3.7818E+03 -1.916658E+03 -2.020523E+03 -1.907902E+03 -2.092314E+03 -1.989423E+03 -1.921856E+03 -1.905256E+03 -1.904177E+03 -1.907091E+03
   15    2  4.5014E+03 -3.7573E+03 -2.166517E+03 -2.159392E+03 -2.061199E+03 -2.322903E+03 -2.120444E+03 -2.071531E+03 -2.074367E+03 -2.088373E+03 -2.104104E+03
   16    2  4.5880E+03 -3.7302E+03 -2.693785E+03 -2.433163E+03 -2.483254E+03 -2.482478E+03 -2.434649E+03 -2.478717E+03 -2.525957E+03 -2.558828E+03 -2.584179E+03
   17    2  4.6877E+03 -3.7037E+03 -3.573995E+03 -2.091606E+03 -2.429305E+03 -1.828925E+03 -2.244095E+03 -2.412179E+03 -2.541541E+03 -2.671951E+03 -2.791885E+03
   18    2  4.7961E+03 -3.6836E+03 -4.264702E+03 -1.258321E+03 -1.594722E+03 -1.077555E+03 -1.441122E+03 -1.586628E+03 -1.695622E+03 -1.844368E+03 -2.011368E+03
   19    2  4.9013E+03 -3.6785E+03 -2.584645E+03 -4.142060E+02 -6.142628E+02 -5.557691E+02 -5.852038E+02 -6.091376E+02 -6.428645E+02 -6.857117E+02 -7.480627E+02
   20    2  4.9818E+03 -3.6895E+03  1.089721E+02 -3.864576E+02 -5.550568E+02 -6.161497E+02 -5.777771E+02 -5.605753E+02 -5.742344E+02 -5.727916E+02 -5.773191E+02
   21    2  5.4113E+03 -2.6783E+03  6.056749E+00  1.954819E+00 -8.867817E+01 -3.563462E+02 -3.638216E+02 -3.717111E+02 -3.895645E+02 -5.835676E+02 -6.960924E+02
   22    2  5.3141E+03 -2.6035E+03  4.636505E+00 -4.086804E+01 -8.998053E+01 -5.527911E+02 -5.538988E+02 -5.524147E+02 -5.531793E+02 -6.404621E+02 -6.795660E+02
   23    2  5.1453E+03 -2.4055E+03  2.072953E+00 -8.924049E+01 -9.890292E+01 -8.895533E+02 -8.884090E+02 -8.775067E+02 -8.541512E+02 -7.753252E+02 -6.956687E+02
