    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1                                        
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -12.09535 -11.76733 -11.38699 -11.16480 -10.99223 -10.84230 -10.76855 -10.70005
 -17.66611 -17.36674 -17.06370 -16.66654 -16.36765 -16.06416 -15.66582 -15.36377
 -15.05418 -14.65876 -14.36612 -14.06145 -13.66205 -13.36137 -13.04711 -12.62178
 -12.28538 -11.92917 -11.51477 -11.27365 -11.08526 -10.92216 -10.84330 -10.77035
 -17.94353 -17.64458 -17.34102 -16.94409 -16.64576 -16.34163 -15.94314 -15.64072
 -15.32869 -14.93379 -14.64303 -14.33639 -13.93449 -13.63080 -13.30714 -12.86178
 -12.50249 -12.11425 -11.66112 -11.39848 -11.19211 -11.01403 -10.92937 -10.85136
 -18.14086 -17.84221 -17.53828 -17.14152 -16.84359 -16.53899 -16.14041 -15.83772
 -15.52396 -15.12943 -14.84001 -14.53197 -14.12829 -13.82245 -13.49213 -13.03256
 -12.65704 -12.24606 -11.76546 -11.48755 -11.26842 -11.07972 -10.99093 -10.90933
 -18.41947 -18.12124 -17.81679 -17.42025 -17.12289 -16.81765 -16.41892 -16.11586
 -15.79965 -15.40566 -15.11811 -14.80810 -14.40192 -14.09306 -13.75335 -13.27375
 -12.87534 -12.43233 -11.91300 -11.61357 -11.37646 -11.17278 -11.07820 -10.99153
 -18.77102 -18.47332 -18.16823 -17.77197 -17.47532 -17.16926 -16.77035 -16.46682
 -16.14754 -15.75420 -15.46903 -15.15653 -14.74719 -14.43454 -14.08299 -13.57816
 -13.15091 -12.66754 -12.09943 -11.77288 -11.51312 -11.29058 -11.18868 -11.09564
 -19.00280 -18.70545 -18.39993 -18.00386 -17.70768 -17.40108 -17.00206 -16.69822
 -16.37690 -15.98400 -15.70039 -15.38626 -14.97484 -14.65968 -14.30034 -13.77889
 -13.33265 -12.82270 -12.22244 -11.87804 -11.60335 -11.36838 -11.26167 -11.16443
 -19.24862 -18.95164 -18.64566 -18.24980 -17.95411 -17.64694 -17.24779 -16.94363
 -16.62017 -16.22773 -15.94577 -15.62990 -15.21628 -14.89847 -14.53087 -13.99180
 -13.52542 -12.98729 -12.35297 -11.98963 -11.69913 -11.45099 -11.33917 -11.23748
 -19.52818 -19.23162 -18.92513 -18.52949 -18.23437 -17.92655 -17.52726 -17.22272
 -16.89681 -16.50490 -16.22483 -15.90699 -15.49086 -15.17003 -14.79304 -14.23394
 -13.74468 -13.17451 -12.50146 -12.11660 -11.80812 -11.54500 -11.42738 -11.32063
---------------------/ IPRT= 3  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -67.34579 -67.17161 -66.96289 -66.64143 -66.37257 -66.09105 -65.72647 -65.44196
 -65.14342 -64.90588 -64.55872 -63.95188 -65.22279 -63.74870 -55.40331 -48.73945
 -49.24225 -48.56927 -46.93401 -46.04661 -45.12227 -43.94629 -43.13730 -42.33951
 -50.58849 -50.02319 -49.35562 -48.32779 -47.46488 -46.55305 -45.30120 -44.34147
 -43.38398 -42.09712 -41.18726 -40.36576 -38.82291 -38.27309 -39.40189 -39.87217
 -38.87380 -38.09412 -37.17562 -36.39556 -35.66671 -34.77723 -34.12911 -33.48415
 -40.81335 -40.44070 -40.02332 -39.39355 -38.86077 -38.28642 -37.46558 -36.79923
 -36.09749 -35.13426 -34.38233 -33.62016 -32.70173 -31.93742 -30.94373 -29.80973
 -29.14262 -28.39840 -27.36270 -26.60073 -25.86326 -24.94093 -24.27291 -23.60886
 -35.96931 -35.57356 -35.12852 -34.46179 -33.90847 -33.32817 -32.53552 -31.91887
 -31.28303 -30.40543 -29.71707 -29.01382 -28.05100 -27.35207 -26.73677 -25.89114
 -25.18444 -24.46435 -23.50953 -22.79591 -22.10306 -21.23033 -20.59347 -19.95972
 -32.47967 -32.08550 -31.64151 -30.97932 -30.43300 -29.86192 -29.08437 -28.48503
 -27.87771 -27.06381 -26.43641 -25.79568 -24.93991 -24.27883 -23.59658 -22.71713
 -22.06894 -21.40691 -20.53726 -19.89803 -19.27791 -18.51424 -17.97139 -17.43321
 -29.65946 -29.24626 -28.78136 -28.09574 -27.53713 -26.95776 -26.17532 -25.57702
 -24.97481 -24.17317 -23.56248 -22.94806 -22.13115 -21.51439 -20.90489 -20.11481
 -19.52740 -18.94764 -18.21257 -17.68563 -17.18578 -16.61284 -16.23531 -15.86529
 -28.23665 -27.81252 -27.33556 -26.63802 -26.07468 -25.49279 -24.70928 -24.11130
 -23.51021 -22.71264 -22.10733 -21.50034 -20.69921 -20.09589 -19.49734 -18.73177
 -18.17602 -17.63782 -16.96964 -16.49983 -16.06048 -15.56891 -15.25273 -14.94402
 -26.79937 -26.36842 -25.88403 -25.17838 -24.61149 -24.02833 -23.24372 -22.64513
 -22.04483 -21.24968 -20.64757 -20.04566 -19.25180 -18.65810 -18.07766 -17.33931
 -16.80973 -16.31153 -15.70759 -15.29327 -14.91934 -14.52345 -14.28219 -14.04872
 -25.64346 -25.21029 -24.72488 -24.01865 -23.45138 -22.86810 -22.08389 -21.48558
 -20.88513 -20.09102 -19.49075 -18.89098 -18.10269 -17.51537 -16.94242 -16.21966
 -15.70880 -15.23617 -14.67534 -14.30102 -13.97414 -13.64610 -13.45746 -13.27677
 -25.14759 -24.71652 -24.23287 -23.52870 -22.96232 -22.37869 -21.59432 -20.99664
 -20.39683 -19.60311 -19.00301 -18.40383 -17.61774 -17.03249 -16.46126 -15.74449
 -15.24189 -14.77938 -14.23381 -13.87415 -13.56644 -13.26534 -13.09627 -12.93503
 -24.78487 -24.36032 -23.88314 -23.18579 -22.62264 -22.04059 -21.25687 -20.65957
 -20.06064 -19.26792 -18.66795 -18.06847 -17.28313 -16.69925 -16.12926 -15.41584
 -14.91739 -14.45981 -13.92365 -13.57427 -13.27943 -12.99620 -12.84021 -12.69198
 -24.52301 -24.11197 -23.65005 -22.96741 -22.41047 -21.83348 -21.05268 -20.45536
 -19.85678 -19.06407 -18.46425 -17.86618 -17.08144 -16.49721 -15.92800 -15.21463
 -14.71605 -14.26061 -13.72924 -13.38501 -13.09774 -12.82664 -12.68033 -12.54185
 -24.40716 -24.00898 -23.56151 -22.89462 -22.34513 -21.77243 -20.99490 -20.39892
 -19.80048 -19.00786 -18.40836 -17.81029 -17.02529 -16.44082 -15.87125 -15.15644
 -14.65623 -14.19939 -13.66695 -13.32307 -13.03771 -12.77085 -12.62836 -12.49379
 -24.31474 -23.93624 -23.51231 -22.87392 -22.34004 -21.77729 -21.00663 -20.41314
 -19.81616 -19.02358 -18.42368 -17.82625 -17.04140 -16.45578 -15.88439 -15.16511
 -14.65944 -14.19581 -13.65653 -13.30993 -13.02295 -12.75693 -12.61697 -12.48518
 -24.27636 -23.92323 -23.53284 -22.94178 -22.43778 -21.89482 -21.13896 -20.55123
 -19.95682 -19.16619 -18.56725 -17.96952 -17.18373 -16.59657 -16.02131 -15.29227
 -14.77501 -14.29632 -13.73763 -13.37989 -13.08548 -12.81268 -12.66834 -12.53226
 -24.28152 -23.94254 -23.57430 -23.02012 -22.54304 -22.02025 -21.28057 -20.69866
 -20.10633 -19.31754 -18.71990 -18.12203 -17.33588 -16.74777 -16.16887 -15.43022
 -14.90177 -14.40874 -13.83090 -13.46079 -13.15637 -12.87479 -12.72619 -12.58617
 -24.30720 -23.98012 -23.63231 -23.11798 -22.67436 -22.17958 -21.46383 -20.89159
 -20.30511 -19.51971 -18.92249 -18.32453 -17.53792 -16.94783 -16.36361 -15.61249
 -15.06970 -14.55762 -13.95344 -13.56609 -13.24797 -12.95342 -12.79737 -12.65021
 -24.35517 -24.03839 -23.70840 -23.23260 -22.82685 -22.37101 -21.69539 -21.14170
 -20.56605 -19.78763 -19.19267 -18.59545 -17.80631 -17.21225 -16.62290 -15.85510
 -15.29000 -14.75006 -14.10945 -13.69905 -13.36258 -13.04953 -12.88187 -12.72340
 -24.39797 -24.08627 -23.76498 -23.30957 -22.92741 -22.50079 -21.85976 -21.32391
 -20.75924 -19.98806 -19.39554 -18.79964 -18.01033 -17.41389 -16.81915 -16.03632
 -15.45327 -14.89129 -14.22181 -13.79311 -13.44231 -13.11522 -12.93896 -12.77215
 -24.46665 -24.15943 -23.84602 -23.41586 -23.06491 -22.67515 -22.08425 -21.57981
