%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIC	 RMDE	 RHOE	 PSIE	  TIC	 DTIC
  3.134E+00	 3.135E+00	 1.163E-01	 1.409E-02	 3.868E+00	 1.247E-01
  3.134E+00	 3.136E+00	 1.165E-01	 1.414E-02	 3.633E+00	 1.492E-01
  3.135E+00	 3.136E+00	 1.166E-01	 1.417E-02	 3.852E+00	 1.188E-01
  3.135E+00	 3.136E+00	 1.169E-01	 1.423E-02	 3.907E+00	 1.277E-01
  3.135E+00	 3.136E+00	 1.171E-01	 1.431E-02	 3.836E+00	 1.380E-01
  3.135E+00	 3.136E+00	 1.173E-01	 1.434E-02	 3.900E+00	 1.250E-01
  3.135E+00	 3.136E+00	 1.173E-01	 1.435E-02	 3.809E+00	 1.272E-01
  3.135E+00	 3.136E+00	 1.175E-01	 1.441E-02	 3.498E+00	 1.342E-01
  3.135E+00	 3.136E+00	 1.176E-01	 1.443E-02	 3.993E+00	 1.256E-01
  3.135E+00	 3.136E+00	 1.177E-01	 1.446E-02	 3.836E+00	 1.677E-01
  3.135E+00	 3.136E+00	 1.177E-01	 1.446E-02	 3.649E+00	 1.136E-01
  3.136E+00	 3.137E+00	 1.178E-01	 1.448E-02	 3.880E+00	 1.199E-01
  3.136E+00	 3.137E+00	 1.178E-01	 1.449E-02	 3.875E+00	 1.458E-01
  3.136E+00	 3.137E+00	 1.178E-01	 1.449E-02	 3.615E+00	 1.150E-01
  3.136E+00	 3.137E+00	 1.181E-01	 1.458E-02	 3.857E+00	 1.058E-01
  3.136E+00	 3.137E+00	 1.183E-01	 1.461E-02	 3.794E+00	 1.171E-01
  3.136E+00	 3.137E+00	 1.183E-01	 1.463E-02	 3.503E+00	 1.102E-01
  3.136E+00	 3.137E+00	 1.184E-01	 1.465E-02	 4.076E+00	 1.384E-01
  3.136E+00	 3.137E+00	 1.184E-01	 1.466E-02	 3.922E+00	 1.280E-01
  3.136E+00	 3.137E+00	 1.188E-01	 1.476E-02	 3.791E+00	 1.265E-01
  3.137E+00	 3.137E+00	 1.190E-01	 1.481E-02	 3.901E+00	 1.162E-01
  3.137E+00	 3.138E+00	 1.190E-01	 1.483E-02	 3.789E+00	 1.267E-01
  3.137E+00	 3.138E+00	 1.192E-01	 1.488E-02	 3.838E+00	 1.391E-01
  3.137E+00	 3.138E+00	 1.197E-01	 1.502E-02	 3.928E+00	 1.596E-01
  3.137E+00	 3.138E+00	 1.197E-01	 1.502E-02	 3.759E+00	 1.572E-01
  3.137E+00	 3.138E+00	 1.197E-01	 1.503E-02	 3.908E+00	 1.548E-01
  3.137E+00	 3.138E+00	 1.198E-01	 1.506E-02	 4.065E+00	 1.261E-01
  3.137E+00	 3.138E+00	 1.200E-01	 1.509E-02	 4.057E+00	 1.678E-01
  3.138E+00	 3.138E+00	 1.200E-01	 1.510E-02	 3.905E+00	 1.251E-01
  3.138E+00	 3.138E+00	 1.200E-01	 1.511E-02	 4.040E+00	 1.422E-01
  3.138E+00	 3.138E+00	 1.202E-01	 1.516E-02	 4.083E+00	 1.371E-01
  3.138E+00	 3.139E+00	 1.204E-01	 1.523E-02	 3.927E+00	 1.533E-01
  3.138E+00	 3.139E+00	 1.206E-01	 1.528E-02	 3.908E+00	 1.263E-01
  3.138E+00	 3.139E+00	 1.207E-01	 1.531E-02	 3.783E+00	 1.222E-01
  3.138E+00	 3.139E+00	 1.207E-01	 1.531E-02	 3.923E+00	 1.314E-01
  3.139E+00	 3.140E+00	 1.217E-01	 1.560E-02	 3.847E+00	 1.180E-01
  3.139E+00	 3.140E+00	 1.218E-01	 1.562E-02	 3.887E+00	 1.439E-01
  3.139E+00	 3.140E+00	 1.218E-01	 1.562E-02	 3.670E+00	 1.376E-01
  3.139E+00	 3.140E+00	 1.219E-01	 1.565E-02	 3.912E+00	 1.370E-01
  3.139E+00	 3.140E+00	 1.219E-01	 1.565E-02	 3.939E+00	 1.372E-01
  3.139E+00	 3.140E+00	 1.219E-01	 1.567E-02	 3.870E+00	 1.215E-01
  3.140E+00	 3.140E+00	 1.223E-01	 1.576E-02	 3.930E+00	 1.128E-01
  3.140E+00	 3.140E+00	 1.225E-01	 1.582E-02	 4.042E+00	 1.349E-01
  3.140E+00	 3.140E+00	 1.225E-01	 1.585E-02	 3.852E+00	 1.252E-01
  3.140E+00	 3.140E+00	 1.228E-01	 1.592E-02	 3.956E+00	 1.495E-01
  3.140E+00	 3.141E+00	 1.229E-01	 1.597E-02	 3.807E+00	 1.127E-01
  3.141E+00	 3.141E+00	 1.236E-01	 1.618E-02	 3.822E+00	 1.113E-01
  3.141E+00	 3.141E+00	 1.237E-01	 1.620E-02	 4.020E+00	 1.253E-01
  3.141E+00	 3.141E+00	 1.237E-01	 1.620E-02	 3.921E+00	 1.368E-01
  3.141E+00	 3.141E+00	 1.238E-01	 1.623E-02	 3.681E+00	 1.668E-01
  3.141E+00	 3.141E+00	 1.239E-01	 1.624E-02	 3.773E+00	 2.207E-01
  3.141E+00	 3.141E+00	 1.240E-01	 1.628E-02	 3.902E+00	 1.261E-01
  3.141E+00	 3.141E+00	 1.240E-01	 1.628E-02	 3.736E+00	 1.050E-01
  3.142E+00	 3.142E+00	 1.247E-01	 1.650E-02	 3.816E+00	 1.152E-01
  3.142E+00	 3.142E+00	 1.247E-01	 1.650E-02	 3.779E+00	 1.353E-01
  3.142E+00	 3.142E+00	 1.251E-01	 1.663E-02	 3.744E+00	 1.929E-01
  3.142E+00	 3.143E+00	 1.254E-01	 1.670E-02	 3.817E+00	 1.713E-01
  3.143E+00	 3.143E+00	 1.260E-01	 1.689E-02	 3.909E+00	 1.210E-01
  3.143E+00	 3.143E+00	 1.261E-01	 1.692E-02	 3.900E+00	 1.375E-01
  3.144E+00	 3.144E+00	 1.267E-01	 1.711E-02	 4.021E+00	 1.493E-01
