    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    1                                                                 
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
  -6.55230  -6.41935  -6.27242  -6.20605  -6.17062  -6.15028  -6.14280  -6.13631
  -6.88565  -6.88339  -6.88155  -6.87785  -6.87684  -6.88051  -6.87820  -6.87259
  -6.87218  -6.86422  -6.85315  -6.84649  -6.82958  -6.80961  -6.78690  -6.71292
  -6.60892  -6.47524  -6.32282  -6.25210  -6.21456  -6.19325  -6.18529  -6.17835
  -6.92195  -6.91951  -6.91762  -6.91333  -6.91249  -6.91800  -6.91592  -6.90948
  -6.91045  -6.90280  -6.89110  -6.88603  -6.87028  -6.85154  -6.83413  -6.76904
  -6.66894  -6.53448  -6.37625  -6.30091  -6.26113  -6.23880  -6.23033  -6.22292
  -6.96320  -6.96057  -6.95862  -6.95367  -6.95301  -6.96062  -6.95881  -6.95142
  -6.95395  -6.94666  -6.93424  -6.93098  -6.91656  -6.89921  -6.88783  -6.83283
  -6.73716  -6.60182  -6.43699  -6.35639  -6.31408  -6.29058  -6.28153  -6.27358
  -6.99248  -6.98970  -6.98771  -6.98228  -6.98176  -6.99086  -6.98923  -6.98118
  -6.98481  -6.97778  -6.96485  -6.96288  -6.94939  -6.93303  -6.92592  -6.87809
  -6.78557  -6.64960  -6.48009  -6.39576  -6.35165  -6.32731  -6.31786  -6.30953
  -7.03374  -7.03076  -7.02871  -7.02262  -7.02229  -7.03348  -7.03212  -7.02312
  -7.02831  -7.02164  -7.00800  -7.00783  -6.99566  -6.98070  -6.97962  -6.94188
  -6.85380  -6.71695  -6.54082  -6.45125  -6.40459  -6.37909  -6.36907  -6.36020
  -7.08571  -7.08249  -7.08037  -7.07343  -7.07334  -7.08717  -7.08615  -7.07596
  -7.08311  -7.07690  -7.06235  -7.06447  -7.05395  -7.04075  -7.04726  -7.02225
  -6.93975  -6.80179  -6.61735  -6.52116  -6.47130  -6.44432  -6.43358  -6.42403
  -7.11995  -7.11656  -7.11439  -7.10690  -7.10697  -7.12254  -7.12173  -7.11076
  -7.11921  -7.11329  -7.09815  -7.10177  -7.09235  -7.08030  -7.09182  -7.07518
  -6.99637  -6.85768  -6.66775  -6.56720  -6.51524  -6.48729  -6.47607  -6.46607
  -7.15625  -7.15268  -7.15046  -7.14238  -7.14261  -7.16003  -7.15946  -7.14765
  -7.15748  -7.15188  -7.13611  -7.14132  -7.13305  -7.12223  -7.13905  -7.13130
  -7.05639  -6.91692  -6.72118  -6.61601  -6.56181  -6.53284  -6.52111  -6.51064
  -7.19750  -7.19374  -7.19146  -7.18272  -7.18314  -7.20265  -7.20234  -7.18959
  -7.20098  -7.19574  -7.17925  -7.18627  -7.17933  -7.16990  -7.19275  -7.19509
  -7.12462  -6.98426  -6.78192  -6.67150  -6.61476  -6.58462  -6.57232  -6.56130
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 2   / DATE= 04/11/99
 -70.91954 -70.91891 -70.91819 -70.91708 -70.91611 -70.91504 -70.91350 -70.91222
 -70.91081 -70.90876 -70.90703 -70.90513 -70.90247 -70.90023 -70.89740 -70.89470
 -70.89248 -70.88247 -70.82614 -70.74865 -70.68372 -70.62481 -70.58196 -70.53427
 -73.40575 -73.40804 -73.41066 -73.41473 -73.41830 -73.42220 -73.42784 -73.43252
 -73.43764 -73.44518 -73.45150 -73.45835 -73.46831 -73.47663 -73.48575 -73.49871
 -73.50882 -73.51918 -73.53703 -73.55173 -73.55599 -73.54238 -73.55012 -73.63673
 -56.45578 -56.43349 -56.40767 -56.36770 -56.33285 -56.29465 -56.23915 -56.19290
 -56.14234 -56.06816 -56.00616 -55.93901 -55.84098 -55.75871 -55.66927 -55.54005
 -55.43632 -55.33345 -55.21504 -55.14849 -55.10164 -55.06518 -54.85423 -54.06086
 -42.92398 -42.90429 -42.88073 -42.84406 -42.81253 -42.77775 -42.72642 -42.68324
 -42.63628 -42.56799 -42.51127 -42.45010 -42.35995 -42.28351 -42.20126 -42.07902
 -41.97078 -41.84565 -41.64290 -41.45463 -41.23843 -40.91279 -40.64575 -40.37912
 -32.80625 -32.78960 -32.76985 -32.73779 -32.70894 -32.67809 -32.63330 -32.59533
 -32.55529 -32.49645 -32.44554 -32.39139 -32.31402 -32.24905 -32.17801 -32.07342
 -31.98315 -31.87795 -31.70723 -31.54770 -31.35704 -31.05951 -30.81094 -30.55737
 -24.87513 -24.86246 -24.84706 -24.82243 -24.80081 -24.77699 -24.74102 -24.70996
 -24.67704 -24.62910 -24.58771 -24.54229 -24.47648 -24.42206 -24.36286 -24.27608
 -24.20210 -24.11751 -23.98169 -23.85428 -23.70082 -23.46039 -23.24772 -22.99564
 -20.87716 -20.86743 -20.85597 -20.83844 -20.82282 -20.80381 -20.77506 -20.75179
 -20.72559 -20.68581 -20.65211 -20.61511 -20.56092 -20.51558 -20.46583 -20.39209
 -20.32868 -20.25609 -20.13648 -20.02083 -19.88120 -19.66353 -19.48061 -19.28924
 -16.83772 -16.83149 -16.82364 -16.81111 -16.80001 -16.78695 -16.76693 -16.75015
 -16.73182 -16.70342 -16.67794 -16.64999 -16.60900 -16.57405 -16.53521 -16.47739
 -16.42761 -16.37021 -16.27506 -16.18319 -16.07302 -15.90314 -15.76038 -15.60755
 -13.58674 -13.58313 -13.57863 -13.57093 -13.56366 -13.55542 -13.54253 -13.53086
 -13.51784 -13.49828 -13.48128 -13.46221 -13.43287 -13.40710 -13.37869 -13.33619
 -13.29889 -13.25592 -13.18532 -13.11756 -13.03643 -12.91167 -12.80784 -12.69883
 -12.17331 -12.17079 -12.16728 -12.16141 -12.15620 -12.14999 -12.14011 -12.13135
 -12.12129 -12.10588 -12.09253 -12.07749 -12.05428 -12.03380 -12.01094 -11.97648
 -11.94634 -11.91173 -11.85407 -11.79817 -11.73235 -11.63203 -11.54807 -11.45966
 -11.09298 -11.09119 -11.08867 -11.08461 -11.08089 -11.07562 -11.06879 -11.06418
 -11.05561 -11.04153 -11.03251 -11.02212 -11.00390 -10.98710 -10.96912 -10.94142
 -10.91599 -10.88845 -10.84397 -10.79995 -10.74810 -10.66862 -10.60093 -10.52838
 -10.23308 -10.23189 -10.23043 -10.22714 -10.22349 -10.22021 -10.21571 -10.21091
 -10.20491 -10.19565 -10.18832 -10.18130 -10.16822 -10.15353 -10.13855 -10.11851
 -10.10096 -10.08043 -10.04525 -10.01083  -9.97113  -9.91025  -9.85732  -9.79981
  -9.79066  -9.78995  -9.78904  -9.78672  -9.78400  -9.78151  -9.77732  -9.77273
  -9.76854  -9.76211  -9.75529  -9.74850  -9.73760  -9.72627  -9.71412  -9.69730
  -9.68272  -9.66505  -9.63538  -9.60762  -9.57522  -9.52456  -9.48005  -9.43096
  -9.33331  -9.33272  -9.33188  -9.33051  -9.32907  -9.32667  -9.32291  -9.32031
  -9.31718  -9.31198  -9.30723  -9.30135  -9.29220  -9.28456  -9.27584  -9.26205
  -9.24962  -9.23531  -9.21284  -9.19236  -9.16802  -9.12797  -9.09151  -9.05185
  -8.94374  -8.94406  -8.94457  -8.94344  -8.94104  -8.94040  -8.94008  -8.93775
  -8.93546  -8.93180  -8.92752  -8.92319  -8.91701  -8.91094  -8.90339  -8.89153
  -8.88197  -8.87277  -8.85805  -8.84233  -8.82319  -8.79313  -8.76655  -8.73621
  -8.77032  -8.77035  -8.77057  -8.77006  -8.76851  -8.76674  -8.76462  -8.76318
  -8.76177  -8.75940  -8.75657  -8.75219  -8.74628  -8.74239  -8.73599  -8.72614
  -8.71981  -8.71137  -8.69718  -8.68504  -8.66945  -8.64390  -8.62139  -8.59420
  -8.63457  -8.63408  -8.63408  -8.63377  -8.63263  -8.63134  -8.62975  -8.62868
  -8.62784  -8.62566  -8.62245  -8.61901  -8.61428  -8.61028  -8.60617  -8.59947
  -8.59267  -8.58491  -8.57296  -8.56204  -8.54917  -8.52834  -8.50874  -8.48489
  -8.52755  -8.52751  -8.52759  -8.52727  -8.52641  -8.52547  -8.52445  -8.52365
  -8.52237  -8.52002  -8.51805  -8.51585  -8.51172  -8.50753  -8.50361  -8.49782
  -8.49202  -8.48599  -8.47637  -8.46662  -8.45539  -8.43782  -8.42117  -8.40042
  -8.47533  -8.47523  -8.47538  -8.47520  -8.47433  -8.47336  -8.47242  -8.47175
  -8.47035  -8.46818  -8.46689  -8.46499  -8.46134  -8.45803  -8.45430  -8.44876
  -8.44397  -8.43827  -8.42909  -8.42068  -8.41066  -8.39443  -8.37922  -8.36046
  -8.42906  -8.42876  -8.42824  -8.42771  -8.42757  -8.42702  -8.42606  -8.42546
  -8.42423  -8.42222  -8.42096  -8.41919  -8.41613  -8.41358  -8.41048  -8.40547
  -8.40098  -8.39565  -8.38778  -8.38109  -8.37224  -8.35719  -8.34357  -8.32707
  -8.40587  -8.40589  -8.40593  -8.40566  -8.40505  -8.40434  -8.40346  -8.40283
  -8.40218  -8.40110  -8.39987  -8.39794  -8.39526  -8.39348  -8.39068  -8.38601
  -8.38244  -8.37787  -8.37040  -8.36402  -8.35637  -8.34345  -8.33093  -8.31548
  -8.40933  -8.40936  -8.40944  -8.40920  -8.40854  -8.40781  -8.40693  -8.40629
