$
$ 2D experimental data array of the CIII 4650A
$ emission for DIIID shot 86575 at 1650ms - with a 
$ roughly 2cm square grid 
$
$ 50 cells over R =  1.0 to  2.0
$ 30 cells over Z = -1.4 to -0.8
$
$ SCALEF: = ????
$
TITLE: EXPT 2D CIII 4650A
DATA:  50  30 
1.24490     -1.13103   -1.97409e+07      
1.24490     -1.11034    3.32101e+07      
1.24490     -1.08966    4.75339e+07      
1.24490     -1.06897    4.75571e+07      
1.24490     -1.04828    3.31432e+07      
1.24490     -1.02759    3.14369e+07      
1.24490     -1.00690    4.22125e+07      
1.24490    -0.986207    3.63992e+07      
1.24490    -0.965517    2.18868e+07      
1.24490    -0.944828    2.18541e+07      
1.24490    -0.924138    2.20093e+07      
1.24490    -0.903448    1.46130e+07      
1.24490    -0.882759   -1.19333e+07      
1.24490    -0.862069   -3.38467e+06      
1.24490    -0.841379   -4.11049e+06      
1.24490    -0.820690       -820360.      
1.24490    -0.800000    1.39846e+07      
1.26531     -1.40000        0.00000      
1.26531     -1.37931    8.51961e+06      
1.26531     -1.35862   -3.05401e+07      
1.26531     -1.33793    1.81397e+07      
1.26531     -1.31724    9.01049e+07      
1.26531     -1.29655   -5.20423e+07      
1.26531     -1.27586   -5.34002e+07      
1.26531     -1.25517   -4.60010e+07      
1.26531     -1.23448   -3.09990e+07      
1.26531     -1.21379    6.98322e+07      
1.26531     -1.19310    1.21614e+08      
1.26531     -1.17241    2.83339e+08      
1.26531     -1.15172    6.96646e+08      
1.26531     -1.13103   -9.27513e+07      
1.26531     -1.11034    2.72847e+07      
1.26531     -1.08966    1.79323e+07      
1.26531     -1.06897    1.56820e+07      
1.26531     -1.04828    3.26791e+07      
1.26531     -1.02759    1.42096e+07      
1.26531     -1.00690    1.57975e+07      
1.26531    -0.986207    1.48060e+07      
1.26531    -0.965517    4.56383e+06      
1.26531    -0.944828   -3.19873e+06      
1.26531    -0.924138    6.99423e+06      
1.26531    -0.903448    6.49397e+06      
1.26531    -0.882759       -484880.      
1.26531    -0.862069   -2.42752e+06      
1.26531    -0.841379    1.54394e+06      
1.26531    -0.820690    4.82476e+06      
1.26531    -0.800000    7.61450e+06      
1.28571     -1.40000        0.00000      
1.28571     -1.37931    6.96753e+06      
1.28571     -1.35862   -3.04042e+07      
1.28571     -1.33793    2.17884e+07      
1.28571     -1.31724    9.19619e+07      
1.28571     -1.29655   -5.70009e+07      
1.28571     -1.27586   -5.55083e+07      
1.28571     -1.25517   -1.08661e+07      
1.28571     -1.23448   -1.66672e+07      
1.28571     -1.21379    4.28934e+07      
1.28571     -1.19310    1.88417e+08      
1.28571     -1.17241    6.55927e+07      
1.28571     -1.15172    1.12149e+09      
1.28571     -1.13103    2.40341e+07      
1.28571     -1.11034    1.09198e+07      
1.28571     -1.08966    3.51461e+06      
1.28571     -1.06897    3.91816e+06      
1.28571     -1.04828   -3.99165e+06      
1.28571     -1.02759        767746.      
1.28571     -1.00690    6.01546e+06      
1.28571    -0.986207    7.01395e+06      
1.28571    -0.965517    4.76836e+06      
1.28571    -0.944828    7.49212e+06      
1.28571    -0.924138    1.35668e+07      
1.28571    -0.903448    3.51472e+06      
1.28571    -0.882759        123606.      
1.28571    -0.862069    2.40626e+06      
1.28571    -0.841379    4.02848e+06      
1.28571    -0.820690   -1.03105e+06      
1.28571    -0.800000    6.13642e+06      
1.30612     -1.40000        0.00000      
1.30612     -1.37931    4.81145e+06      
1.30612     -1.35862   -4.87354e+07      
1.30612     -1.33793    5.18155e+07      
1.30612     -1.31724    7.42075e+07      
1.30612     -1.29655   -5.50947e+07      
1.30612     -1.27586   -4.55209e+07      
1.30612     -1.25517   -6.78858e+07      
1.30612     -1.23448   -2.34291e+07      
1.30612     -1.21379    8.17787e+07      
1.30612     -1.19310    1.17790e+08      
1.30612     -1.17241    9.76439e+07      
1.30612     -1.15172    7.85588e+08      
1.30612     -1.13103    5.75030e+08      
1.30612     -1.11034   -2.16790e+07      
1.30612     -1.08966    5.01176e+06      
1.30612     -1.06897    8.10795e+06      
1.30612     -1.04828    4.50680e+06      
1.30612     -1.02759    1.13760e+06      
1.30612     -1.00690    3.66410e+06      
1.30612    -0.986207    3.18251e+06      
1.30612    -0.965517       -631270.      
1.30612    -0.944828    8.63319e+06      
1.30612    -0.924138    9.85779e+06      
1.30612    -0.903448    4.50453e+06      
1.30612    -0.882759    3.03577e+06      
1.30612    -0.862069   -5.62537e+06      
1.30612    -0.841379   -3.26060e+06      
1.30612    -0.820690    4.79257e+06      
1.30612    -0.800000    8.68156e+06      
1.32653     -1.40000        0.00000      
1.32653     -1.37931    3.57574e+06      
1.32653     -1.35862   -5.13190e+07      
1.32653     -1.33793    7.99819e+07      
1.32653     -1.31724    4.87519e+07      
1.32653     -1.29655   -3.59865e+07      
1.32653     -1.27586   -4.69803e+07      
1.32653     -1.25517   -2.92417e+07      
1.32653     -1.23448   -3.38095e+07      
1.32653     -1.21379    5.39715e+07      
1.32653     -1.19310    1.44547e+08      
1.32653     -1.17241    4.83018e+07      
1.32653     -1.15172    2.32387e+08      
1.32653     -1.13103    6.77168e+08      
1.32653     -1.11034    2.32225e+07      
1.32653     -1.08966        913320.      
