{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    1.203182    0.270705    0.000000    9.74E+18        2.82
    1.204012    0.268210    0.000000    8.95E+18        3.29
    1.206103    0.264648    0.000000    8.31E+18        3.10
    1.207919    0.267900    0.000000    5.04E+18        4.87
    1.208098    0.266148    0.000000    1.06E+19        2.96
    1.208876    0.263638    0.000000    1.19E+19        3.34
    1.209015    0.256541    0.000000    1.14E+19        2.05
    1.211937    0.259080    0.000000    7.70E+18        4.53
    1.212324    0.254016    0.000000    8.65E+18        2.53
    1.212692    0.263378    0.000000    7.83E+18        2.56
    1.212924    0.261589    0.000000    8.61E+18        2.57
    1.213650    0.259065    0.000000    1.00E+19        5.29
    1.213656    0.251954    0.000000    9.40E+18        3.32
    1.216944    0.249415    0.000000    7.84E+18        3.73
    1.217658    0.257031    0.000000    8.39E+18        7.44
    1.218207    0.247366    0.000000    1.51E+19        2.38
    1.218333    0.254492    0.000000    6.95E+18        5.68
    1.218454    0.257803    0.000000    9.28E+18        8.38
    1.219255    0.246297    0.000000    9.49E+18        5.42
    1.220299    0.245227    0.000000    8.48E+18        4.67
    1.222926    0.249919    0.000000    8.97E+18        2.96
    1.223983    0.248854    0.000000    9.28E+18        4.13
    1.224437    0.250348    0.000000    7.29E+18        5.05
    1.225036    0.247788    0.000000    8.64E+18        2.94
{END}
